prefecture_code,district_number,candidate_name,age,party,status,previous_wins,dual_candidacy
13,1,山田 美樹,51,ldp,former,4,true
13,1,海江田万里,76,chudo,incumbent,9,true
13,1,吉川 里奈,38,sansei,incumbent,1,true
13,1,春山明日香,51,ishin,new,0,true
13,1,黒田 朝陽,29,jcp,new,0,false
13,2,天野こころ,36,shoha,new,0,false
13,2,海江田悠輔,46,sansei,new,0,false
13,2,鳩山紀一郎,49,dpfp,incumbent,1,true
13,2,細野 真理,44,jcp,new,0,false
13,2,土橋 章宏,56,mirai,new,0,true
13,2,辻  清人,46,ldp,incumbent,5,true
13,2,今村  充,50,ishin,new,0,true
13,3,石崎  徹,42,ishin,former,3,true
13,3,石田 慎吾,46,dpfp,new,0,true
13,3,阿部祐美子,61,chudo,incumbent,1,true
13,3,植木 洋貴,43,sansei,new,0,true
13,3,石原 宏高,61,ldp,incumbent,6,true
13,4,井戸 正枝,60,dpfp,former,1,true
13,4,嶋  悦子,45,sansei,new,0,false
13,4,平  将明,58,ldp,incumbent,7,true
13,4,谷川 智行,54,jcp,new,0,true
13,5,稲葉 太郎,41,ishin,new,0,true
13,5,桑水流弓紀子,38,dpfp,new,0,true
13,5,手塚 仁雄,59,chudo,incumbent,6,true
13,5,若宮 健嗣,64,ldp,former,5,true
13,5,松岡登志子,56,sansei,new,0,false
13,6,落合 貴之,46,chudo,incumbent,4,true
13,6,丸山 勝己,58,dpfp,new,0,true
13,6,島村 直輝,46,sansei,new,0,false
13,6,畦元 将吾,67,ldp,former,2,true
13,6,福村 康広,69,shoha,new,0,false
13,7,峰島 侑也,35,mirai,new,0,true
13,7,丸川 珠代,55,ldp,new,0,true
13,7,渡辺 泰之,53,ishin,new,0,true
13,7,松尾 明弘,51,chudo,incumbent,2,true
13,7,石川友梨香,29,sansei,new,0,false
13,7,入江 伸子,63,dpfp,new,0,true
13,8,森田 一成,46,dpfp,new,0,true
13,8,門  寛子,45,ldp,new,0,true
13,8,永井  漠,38,sansei,new,0,false
13,8,吉田 晴美,54,chudo,incumbent,2,true
13,8,海保杜久麻,31,reiwa,new,0,false
13,8,大谷 司郎,62,hoshuto,new,0,true
13,8,藤原 幸弘,92,independent,new,0,false
13,9,鈴木 文哉,33,sansei,new,0,false
13,9,薬師寺道代,61,dpfp,new,0,true
13,9,菅原 一秀,64,ldp,former,6,true
13,9,山岸 一生,44,chudo,incumbent,2,true
13,10,鈴木 隼人,48,ldp,incumbent,4,true
13,10,梶原みずほ,53,dpfp,new,0,true
13,10,小山  徹,50,shoha,new,0,false
13,10,鈴木 庸介,50,chudo,incumbent,2,true
13,10,安田  伸,55,sansei,new,0,false
13,11,大豆生田実,60,ishin,new,0,true
13,11,松方 恵美,52,sansei,new,0,false
13,11,阿久津幸彦,69,chudo,incumbent,5,true
13,11,桑島 康文,64,shoha,new,0,false
13,11,高沢 一基,51,dpfp,new,0,true
13,11,下村 博文,71,ldp,former,9,true
13,11,横手 海人,29,jcp,new,0,false
13,12,阿部  司,43,ishin,incumbent,2,true
13,12,久住 勇樹,42,dpfp,new,0,true
13,12,黒石 裕子,34,sansei,new,0,false
13,12,田原 聖子,56,jcp,new,0,false
13,12,高木  啓,60,ldp,incumbent,3,true
13,12,中原 翔太,33,chudo,new,0,true
13,13,加地 敏子,50,sansei,new,0,false
13,13,土田  慎,35,ldp,incumbent,2,true
13,13,沢田 真吾,40,jcp,new,0,false
13,13,森  洋介,31,dpfp,incumbent,1,true
13,14,長南 貴則,40,dpfp,new,0,true
13,14,丹   悠,45,sansei,new,0,false
13,14,原   努,44,jcp,new,0,false
13,14,松島みどり,69,ldp,incumbent,8,true
13,14,櫛渕 万里,58,reiwa,incumbent,3,true
13,15,酒井 菜摘,39,chudo,incumbent,2,true
13,15,鈴木 佳奈,46,sansei,new,0,false
13,15,三次由梨香,40,ishin,new,0,true
13,15,深見 紗采,32,dpfp,new,0,true
13,15,大空 幸星,27,ldp,incumbent,1,true
13,15,吉野 敏明,58,genzei,new,0,true
13,16,竹内 知子,45,dpfp,new,0,true
13,16,村上  剛,44,sansei,new,0,false
13,16,柴田 勝之,57,chudo,incumbent,1,true
13,16,大西 洋平,48,ldp,incumbent,1,true
13,17,反田 麻理,45,chudo,new,0,true
13,17,平沢 勝栄,80,ldp,incumbent,10,false
13,17,長谷川貴子,52,dpfp,new,0,true
13,17,円 より子,78,independent,incumbent,1,false
13,17,杉浦慎一郎,29,sansei,new,0,false
13,17,鈴木 真志,54,shoha,new,0,false
13,17,猪口 幸子,69,ishin,incumbent,1,true
13,18,徳永由紀子,48,sansei,new,0,true
13,18,松下 玲子,55,chudo,incumbent,1,true
13,18,福田かおる,40,ldp,incumbent,1,true
13,18,吉田  綾,40,shoha,new,0,false
13,18,鈴木 佑馬,39,dpfp,new,0,true
13,19,諏訪 玲子,42,dpfp,new,0,true
13,19,末松 義規,69,chudo,incumbent,8,true
13,19,松本 洋平,52,ldp,incumbent,6,true
