選挙区,都道府県,都道府県コード,区番号,対象地域,候補者数,出馬政党,総人口,有権者数,年齢_18〜29歳,年齢_30〜39歳,年齢_40〜49歳,年齢_50〜59歳,年齢_60〜69歳,年齢_70歳以上,男性比率,女性比率,世帯_単身,世帯_夫婦のみ,世帯_核家族,世帯_三世代,世帯_その他,都市化分類,都市化率,第一次産業比率,第二次産業比率,第三次産業比率,所得水準,平均年収（円）,失業率,大卒率,主要産業,経済課題,生活費指数,高齢化依存率,投票率_2021,投票率_2017,投票率_平均,支持率_自民党,支持率_立憲民主党,支持率_維新,支持率_国民民主党,支持率_共産党,支持率_れいわ,支持率_参政党,支持率_その他,イデオロギー_保守,イデオロギー_中道,イデオロギー_革新,政治関心_高,政治関心_中,政治関心_低,浮動票率,主要課題1,主要課題2,主要課題3,課題優先度_経済,課題優先度_社会保障,課題優先度_安全保障,課題優先度_教育,課題優先度_環境,課題優先度_地方創生,課題優先度_憲法改正,課題優先度_防災,ペルソナ_都市部若年勤労者,ペルソナ_郊外子育て世帯,ペルソナ_中高年会社員,ペルソナ_中高年女性労働者,ペルソナ_農村部農業従事者,ペルソナ_高齢年金受給者,ペルソナ_自営業者,ペルソナ_公務員,ペルソナ_大学生,ペルソナ_専業主婦主夫,ペルソナ_非正規雇用,ペルソナ_労働組合員
北海道1区,北海道,1,1,札幌市中央区、南区、西区,3,中道改革連合、共産党、自民党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
北海道2区,北海道,1,2,札幌市北区、東区,4,中道改革連合、日本維新の会、自民党、参政党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
北海道3区,北海道,1,3,札幌市白石区、豊平区、清田区,5,国民民主党、共産党、自民党、れいわ新選組、参政党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
北海道4区,北海道,1,4,札幌市厚別区、手稲区、小樽市,4,中道改革連合、共産党、自民党、参政党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
北海道5区,北海道,1,5,札幌市西区の一部、石狩市、当別町,3,国民民主党、共産党、参政党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
北海道6区,北海道,1,6,旭川市,4,中道改革連合、共産党、自民党、参政党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
北海道7区,北海道,1,7,釧路市、根室市、十勝の一部,5,中道改革連合、日本維新の会、共産党、自民党、参政党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
北海道8区,北海道,1,8,函館市、北斗市、渡島地方,3,共産党、自民党、参政党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
北海道9区,北海道,1,9,室蘭市、苫小牧市、胆振地方,3,中道改革連合、共産党、自民党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
北海道10区,北海道,1,10,岩見沢市、夕張市、空知地方,4,中道改革連合、国民民主党、自民党、参政党,5224614,4530000,0.11,0.11,0.14,0.14,0.16,0.34,0.48,0.52,0.38,0.22,0.27,0.05,0.08,大都市,0.78,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,95.0,0.35,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,農業・一次産業振興,人口減少・過疎化対策,観光産業振興,0.25,0.2,0.1,0.08,0.07,0.2,0.03,0.07,0.1,0.1,0.12,0.08,0.08,0.21,0.07,0.06,0.03,0.06,0.05,0.04
