選挙区,都道府県,都道府県コード,区番号,投票率_2021,投票率_2017,投票率_平均,支持率_自民党,支持率_立憲民主党,支持率_維新,支持率_国民民主党,支持率_共産党,支持率_れいわ,支持率_参政党,支持率_その他,イデオロギー_保守,イデオロギー_中道,イデオロギー_革新,政治関心_高,政治関心_中,政治関心_低,浮動票率,備考
北海道1区,北海道,1,1,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道2区,北海道,1,2,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道3区,北海道,1,3,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道4区,北海道,1,4,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道5区,北海道,1,5,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道6区,北海道,1,6,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道7区,北海道,1,7,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道8区,北海道,1,8,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道9区,北海道,1,9,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道10区,北海道,1,10,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道11区,北海道,1,11,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
北海道12区,北海道,1,12,0.568,0.534,0.551,0.3,0.22,0.08,0.1,0.08,0.05,0.03,0.14,0.35,0.4,0.25,0.25,0.45,0.3,0.35,労働組合の影響力が強い。野党が比較的強い地域。農村部はLDP寄り、都市部は立憲が強い。
青森県1区,青森県,2,1,0.498,0.467,0.483,0.42,0.14,0.06,0.06,0.06,0.04,0.03,0.19,0.5,0.35,0.15,0.18,0.4,0.42,0.25,東北の保守地盤。LDPが圧倒的に強い。投票率は全国的に低め。過疎化・高齢化の影響大。
