選挙区,都道府県,都道府県コード,区番号,第一次産業比率,第二次産業比率,第三次産業比率,所得水準,平均年収（円）,失業率,大卒率,主要産業,経済課題,主要政策関心,生活費指数,高齢化依存率
北海道1区,北海道,1,1,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道2区,北海道,1,2,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道3区,北海道,1,3,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道4区,北海道,1,4,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道5区,北海道,1,5,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道6区,北海道,1,6,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道7区,北海道,1,7,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道8区,北海道,1,8,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道9区,北海道,1,9,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道10区,北海道,1,10,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道11区,北海道,1,11,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
北海道12区,北海道,1,12,0.06,0.18,0.76,中,4200000,0.032,0.35,農業、観光業、食品加工,人口減少、過疎化、農業後継者不足,地方創生、医療・介護、農業振興,95.0,0.35
青森県1区,青森県,2,1,0.1,0.22,0.68,低,3600000,0.035,0.28,りんご農業、水産業、林業,人口減少、若者流出、短命県問題,医療・健康、農業振興、雇用創出,93.0,0.38
青森県2区,青森県,2,2,0.1,0.22,0.68,低,3600000,0.035,0.28,りんご農業、水産業、林業,人口減少、若者流出、短命県問題,医療・健康、農業振興、雇用創出,93.0,0.38
青森県3区,青森県,2,3,0.1,0.22,0.68,低,3600000,0.035,0.28,りんご農業、水産業、林業,人口減少、若者流出、短命県問題,医療・健康、農業振興、雇用創出,93.0,0.38
岩手県1区,岩手県,3,1,0.09,0.24,0.67,低,3650000,0.028,0.29,農業、水産業、製造業,震災復興、人口減少、過疎化,復興・防災、地方創生、医療・介護,93.5,0.37
岩手県2区,岩手県,3,2,0.09,0.24,0.67,低,3650000,0.028,0.29,農業、水産業、製造業,震災復興、人口減少、過疎化,復興・防災、地方創生、医療・介護,93.5,0.37
岩手県3区,岩手県,3,3,0.09,0.24,0.67,低,3650000,0.028,0.29,農業、水産業、製造業,震災復興、人口減少、過疎化,復興・防災、地方創生、医療・介護,93.5,0.37
宮城県1区,宮城県,4,1,0.03,0.2,0.77,中,4350000,0.029,0.4,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,復興・防災、経済活性化、子育て支援,97.0,0.32
宮城県2区,宮城県,4,2,0.03,0.2,0.77,中,4350000,0.029,0.4,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,復興・防災、経済活性化、子育て支援,97.0,0.32
宮城県3区,宮城県,4,3,0.03,0.2,0.77,中,4350000,0.029,0.4,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,復興・防災、経済活性化、子育て支援,97.0,0.32
宮城県4区,宮城県,4,4,0.03,0.2,0.77,中,4350000,0.029,0.4,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,復興・防災、経済活性化、子育て支援,97.0,0.32
宮城県5区,宮城県,4,5,0.03,0.2,0.77,中,4350000,0.029,0.4,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,復興・防災、経済活性化、子育て支援,97.0,0.32
宮城県6区,宮城県,4,6,0.03,0.2,0.77,中,4350000,0.029,0.4,商業、水産加工、電子部品製造,震災復興、仙台一極集中、沿岸部過疎化,復興・防災、経済活性化、子育て支援,97.0,0.32
秋田県1区,秋田県,5,1,0.08,0.24,0.68,低,3500000,0.033,0.27,稲作農業、林業、電子部品製造,人口減少（全国最速）、高齢化（全国最高）、若者流出,人口減少対策、医療・介護、農業振興,92.0,0.42
秋田県2区,秋田県,5,2,0.08,0.24,0.68,低,3500000,0.033,0.27,稲作農業、林業、電子部品製造,人口減少（全国最速）、高齢化（全国最高）、若者流出,人口減少対策、医療・介護、農業振興,92.0,0.42
秋田県3区,秋田県,5,3,0.08,0.24,0.68,低,3500000,0.033,0.27,稲作農業、林業、電子部品製造,人口減少（全国最速）、高齢化（全国最高）、若者流出,人口減少対策、医療・介護、農業振興,92.0,0.42
山形県1区,山形県,6,1,0.08,0.27,0.65,低,3700000,0.026,0.28,果樹農業、電子部品製造、食品加工,人口減少、若者流出、豪雪対策,地方創生、農業振興、インフラ整備,93.0,0.38
山形県2区,山形県,6,2,0.08,0.27,0.65,低,3700000,0.026,0.28,果樹農業、電子部品製造、食品加工,人口減少、若者流出、豪雪対策,地方創生、農業振興、インフラ整備,93.0,0.38
山形県3区,山形県,6,3,0.08,0.27,0.65,低,3700000,0.026,0.28,果樹農業、電子部品製造、食品加工,人口減少、若者流出、豪雪対策,地方創生、農業振興、インフラ整備,93.0,0.38
福島県1区,福島県,7,1,0.05,0.28,0.67,中,4000000,0.03,0.3,製造業、農業、観光業,原発事故復興、風評被害、人口減少,復興・廃炉、エネルギー政策、農業再生,94.0,0.35
福島県2区,福島県,7,2,0.05,0.28,0.67,中,4000000,0.03,0.3,製造業、農業、観光業,原発事故復興、風評被害、人口減少,復興・廃炉、エネルギー政策、農業再生,94.0,0.35
福島県3区,福島県,7,3,0.05,0.28,0.67,中,4000000,0.03,0.3,製造業、農業、観光業,原発事故復興、風評被害、人口減少,復興・廃炉、エネルギー政策、農業再生,94.0,0.35
福島県4区,福島県,7,4,0.05,0.28,0.67,中,4000000,0.03,0.3,製造業、農業、観光業,原発事故復興、風評被害、人口減少,復興・廃炉、エネルギー政策、農業再生,94.0,0.35
福島県5区,福島県,7,5,0.05,0.28,0.67,中,4000000,0.03,0.3,製造業、農業、観光業,原発事故復興、風評被害、人口減少,復興・廃炉、エネルギー政策、農業再生,94.0,0.35
茨城県1区,茨城県,8,1,0.05,0.3,0.65,中,4500000,0.027,0.36,製造業、農業、研究機関,東京への通勤依存、県南北格差、交通インフラ,科学技術振興、交通整備、農業振興,96.0,0.32
茨城県2区,茨城県,8,2,0.05,0.3,0.65,中,4500000,0.027,0.36,製造業、農業、研究機関,東京への通勤依存、県南北格差、交通インフラ,科学技術振興、交通整備、農業振興,96.0,0.32
茨城県3区,茨城県,8,3,0.05,0.3,0.65,中,4500000,0.027,0.36,製造業、農業、研究機関,東京への通勤依存、県南北格差、交通インフラ,科学技術振興、交通整備、農業振興,96.0,0.32
茨城県4区,茨城県,8,4,0.05,0.3,0.65,中,4500000,0.027,0.36,製造業、農業、研究機関,東京への通勤依存、県南北格差、交通インフラ,科学技術振興、交通整備、農業振興,96.0,0.32
茨城県5区,茨城県,8,5,0.05,0.3,0.65,中,4500000,0.027,0.36,製造業、農業、研究機関,東京への通勤依存、県南北格差、交通インフラ,科学技術振興、交通整備、農業振興,96.0,0.32
茨城県6区,茨城県,8,6,0.05,0.3,0.65,中,4500000,0.027,0.36,製造業、農業、研究機関,東京への通勤依存、県南北格差、交通インフラ,科学技術振興、交通整備、農業振興,96.0,0.32
