title,video_url,party_mention,issue_category,channel_party_id,published_date
チームみらいの経済政策を徹底解説,https://www.youtube.com/watch?v=PLACEHOLDER_001,mirai,経済政策,mirai,2026-02-05
安全保障について中道改革連合の政策分析,https://www.youtube.com/watch?v=PLACEHOLDER_002,chudo,安全保障,chudo,2026-02-04
中道改革連合vs日本共産党徹底比較,https://www.youtube.com/watch?v=PLACEHOLDER_003,chudo,政治改革,chudo,2026-02-03
自由民主党街頭演説ハイライト,https://www.youtube.com/watch?v=PLACEHOLDER_004,ldp,政治改革,ldp,2026-02-06
選挙区情勢：れいわ新選組の勝機は？,https://www.youtube.com/watch?v=PLACEHOLDER_005,reiwa,政治改革,reiwa,2026-02-02
社会福祉について中道改革連合の政策分析,https://www.youtube.com/watch?v=PLACEHOLDER_006,chudo,社会福祉,chudo,2026-02-01
自由民主党街頭演説ハイライト,https://www.youtube.com/watch?v=PLACEHOLDER_007,ldp,政治改革,ldp,2026-01-30
記者会見：自由民主党党首が国民に訴え,https://www.youtube.com/watch?v=PLACEHOLDER_008,ldp,経済政策,ldp,2026-02-05
政治改革について自由民主党の政策分析,https://www.youtube.com/watch?v=PLACEHOLDER_009,ldp,政治改革,ldp,2026-02-04
記者会見：日本維新の会党首が国民に訴え,https://www.youtube.com/watch?v=PLACEHOLDER_010,ishin,経済政策,ishin,2026-02-03
【速報】国民民主党の最新政策発表,https://www.youtube.com/watch?v=PLACEHOLDER_011,dpfp,経済政策,dpfp,2026-02-06
日本共産党の経済政策を徹底解説,https://www.youtube.com/watch?v=PLACEHOLDER_012,jcp,経済政策,jcp,2026-02-01
参政党党首が語る選挙戦略,https://www.youtube.com/watch?v=PLACEHOLDER_013,sansei,安全保障,sansei,2026-02-02
消費税・物価について減税日本の政策分析,https://www.youtube.com/watch?v=PLACEHOLDER_014,genzei,消費税・物価,genzei,2026-02-05
日本保守党街頭演説ハイライト,https://www.youtube.com/watch?v=PLACEHOLDER_015,hoshuto,安全保障,hoshuto,2026-02-04
移民政策について日本維新の会の政策分析,https://www.youtube.com/watch?v=PLACEHOLDER_016,ishin,移民政策,ishin,2026-02-03
れいわ新選組の経済政策を徹底解説,https://www.youtube.com/watch?v=PLACEHOLDER_017,reiwa,経済政策,reiwa,2026-02-06
自由民主党vs中道改革連合徹底比較,https://www.youtube.com/watch?v=PLACEHOLDER_018,ldp,政治改革,ldp,2026-02-01
中道改革連合党首が語る選挙戦略,https://www.youtube.com/watch?v=PLACEHOLDER_019,chudo,経済政策,chudo,2026-02-05
チームみらい党首が語る選挙戦略,https://www.youtube.com/watch?v=PLACEHOLDER_020,mirai,社会福祉,mirai,2026-02-04
国民民主党街頭演説ハイライト,https://www.youtube.com/watch?v=PLACEHOLDER_021,dpfp,消費税・物価,dpfp,2026-02-03
選挙区情勢：自由民主党の勝機は？,https://www.youtube.com/watch?v=PLACEHOLDER_022,ldp,政治改革,ldp,2026-02-06
【速報】日本共産党の最新政策発表,https://www.youtube.com/watch?v=PLACEHOLDER_023,jcp,社会福祉,jcp,2026-02-02
安全保障について自由民主党の政策分析,https://www.youtube.com/watch?v=PLACEHOLDER_024,ldp,安全保障,ldp,2026-02-05
参政党vs日本保守党徹底比較,https://www.youtube.com/watch?v=PLACEHOLDER_025,sansei,安全保障,sansei,2026-02-04
記者会見：れいわ新選組党首が国民に訴え,https://www.youtube.com/watch?v=PLACEHOLDER_026,reiwa,社会福祉,reiwa,2026-02-03
減税日本の経済政策を徹底解説,https://www.youtube.com/watch?v=PLACEHOLDER_027,genzei,経済政策,genzei,2026-02-06
日本維新の会街頭演説ハイライト,https://www.youtube.com/watch?v=PLACEHOLDER_028,ishin,政治改革,ishin,2026-02-01
経済政策について国民民主党の政策分析,https://www.youtube.com/watch?v=PLACEHOLDER_029,dpfp,経済政策,dpfp,2026-02-05
選挙区情勢：中道改革連合の勝機は？,https://www.youtube.com/watch?v=PLACEHOLDER_030,chudo,政治改革,chudo,2026-02-04
