block_id,block_name,party,predicted_seats,vote_share_estimate,analysis_summary
chugoku,中国ブロック,ldp,4,0.38,小選挙区で10勝予測だが、比例では中道勢力の躍進により得票率は38%程度に留まる見込み。地方基盤は堅調だが、都市部での支持率低下が影響
chugoku,中国ブロック,chudo,3,0.28,小選挙区で6勝予測の勢いを背景に、比例でも28%の得票を見込む。岡山・広島の都市部を中心に支持拡大、野党第一党としての地位確立
chugoku,中国ブロック,ishin,1,0.12,関西隣接地域として広島・岡山都市部で一定の支持。与党連立効果により12%程度の得票で1議席確保の見通し
chugoku,中国ブロック,dpfp,1,0.09,労働組合基盤を持つ広島・岡山で安定した支持。中道勢力分裂の受け皿として9%の得票で1議席獲得予測
chugoku,中国ブロック,hoshuto,1,0.08,保守層の一部が自民から離反、特に山口・島根の農村部で支持拡大。8%の得票で初議席獲得の可能性
hokkaido,北海道ブロック,ldp,3,32.0,農業地域での組織票基盤は堅固だが、札幌都市圏での支持低下が影響
hokkaido,北海道ブロック,chudo,2,28.0,札幌都市圏を中心に中道・リベラル票を取り込み、野党第一勢力として躍進
hokkaido,北海道ブロック,ishin,1,12.0,全国的な勢いで北海道でも一定の支持を獲得、特に改革志向の有権者層にアピール
hokkaido,北海道ブロック,dpfp,1,10.0,労働組合票と穏健保守票で議席確保、連合北海道の組織力が効果的
hokkaido,北海道ブロック,jcp,1,8.0,札幌都市圏での固定支持層により最低限の議席を維持
hokkaido,北海道ブロック,reiwa,0,4.0,一定の支持はあるものの議席獲得には至らず
hokkaido,北海道ブロック,hoshuto,0,3.0,保守層の一部支持だが議席獲得は困難
hokkaido,北海道ブロック,shamin,0,2.0,伝統的支持基盤は残るが議席獲得には力不足
hokurikushinetsu,北陸信越ブロック,ldp,4,0.38,小選挙区で3勝予測、地方部の安定した支持基盤により比例でも最大勢力を維持
hokurikushinetsu,北陸信越ブロック,chudo,2,0.22,長野で2勝、野党第一党として都市部を中心に一定の比例票を獲得
hokurikushinetsu,北陸信越ブロック,dpfp,1,0.12,農業地帯が多い地域特性から、農業政策重視の国民民主が支持を集める
hokurikushinetsu,北陸信越ブロック,ishin,1,0.1,与党連立として一定の支持、新潟・長野の都市部で票を積み上げ
hokurikushinetsu,北陸信越ブロック,hoshuto,1,0.08,保守的な地域性から日本保守党が議席獲得ライン到達
hokurikushinetsu,北陸信越ブロック,jcp,1,0.06,組織票と固定支持層により最低限の議席確保
kinki,近畿ブロック,ishin,12,42.5,小選挙区で大阪19議席中19議席、兵庫12議席中8議席を獲得予定。地盤の大阪での圧倒的優位に加え、兵庫での勢力拡大が比例票に直結
kinki,近畿ブロック,ldp,7,26.8,京都・兵庫・奈良・和歌山で計8議席獲得予定。地方部での安定した支持基盤を維持するも、都市部での維新の勢いに押される
kinki,近畿ブロック,chudo,4,15.2,京都3・6区、奈良1区で勝利予定。都市部リベラル層の支持を獲得し、野党第一党としての地位を確立
kinki,近畿ブロック,dpfp,2,7.8,小選挙区での議席獲得はないが、中道層からの一定の支持により比例で議席確保
kinki,近畿ブロック,jcp,1,4.2,都市部での組織票により最低限の議席を維持
kinki,近畿ブロック,mirai,1,2.1,京都1区勝利の勢いを比例票に転換
kinki,近畿ブロック,reiwa,1,1.4,都市部での支持により議席確保
kitakanto,北関東ブロック,ldp,6,28.5,農村部と保守層に強固な基盤を持つが、都市部での支持率低下により議席減
kitakanto,北関東ブロック,chudo,5,25.2,埼玉県を中心とした都市部で支持拡大、無党派層の受け皿として躍進
kitakanto,北関東ブロック,ishin,3,16.8,改革志向の都市部有権者の支持獲得、関東圏での勢力拡大継続
kitakanto,北関東ブロック,dpfp,2,11.3,労働組合組織票と中間層の支持により安定した議席確保
kitakanto,北関東ブロック,jcp,1,6.2,組織票により最低限の議席確保、ただし支持率は低迷
kitakanto,北関東ブロック,reiwa,1,4.8,若年層と低所得層の支持により辛うじて議席獲得
kitakanto,北関東ブロック,hoshuto,1,4.1,保守層の一部票を自民から奪い、初議席獲得の可能性
kyushu,九州ブロック,ldp,11,0.52,小選挙区で26/34議席を獲得予定。九州の保守地盤の強さと、福岡都市部でも優勢を維持していることから、比例でも高い支持を獲得
kyushu,九州ブロック,ishin,3,0.16,与党連合として福岡都市部で一定の支持。改革志向の有権者層に訴求し、九州でも維新ブームの影響が継続
