block,party,vote_count,vote_share,seats_won
hokkaido,chudo,24,0.4615,4
hokkaido,ldp,21,0.4038,3
hokkaido,sansei,6,0.1154,1
hokkaido,ishin,1,0.0192,0
tohoku,ldp,37,0.7115,10
tohoku,chudo,6,0.1154,1
tohoku,ishin,4,0.0769,1
tohoku,sansei,2,0.0385,0
tohoku,jcp,2,0.0385,0
tohoku,genzei,1,0.0192,0
tokyo,ldp,16,0.3333,7
tokyo,ishin,12,0.25,6
tokyo,chudo,6,0.125,2
tokyo,sansei,5,0.1042,2
tokyo,jcp,4,0.0833,1
tokyo,reiwa,3,0.0625,1
tokyo,dpfp,1,0.0208,0
tokyo,mirai,1,0.0208,0
minamikanto,ishin,17,0.3778,9
minamikanto,ldp,13,0.2889,7
minamikanto,chudo,12,0.2667,7
minamikanto,dpfp,1,0.0222,0
minamikanto,reiwa,1,0.0222,0
minamikanto,jcp,1,0.0222,0
tokai,chudo,22,0.3929,9
tokai,ldp,16,0.2857,6
tokai,genzei,14,0.25,5
tokai,sansei,4,0.0714,1
kinki,ishin,26,0.2737,8
kinki,ldp,25,0.2632,8
kinki,dpfp,10,0.1053,3
kinki,jcp,9,0.0947,3
kinki,chudo,7,0.0737,2
kinki,sansei,6,0.0632,2
kinki,mirai,5,0.0526,1
kinki,shoha,4,0.0421,1
kinki,reiwa,2,0.0211,0
kinki,genzei,1,0.0105,0
chugoku,ldp,31,0.5254,6
chugoku,chudo,21,0.3559,4
chugoku,sansei,3,0.0508,0
chugoku,jcp,2,0.0339,0
chugoku,reiwa,1,0.0169,0
chugoku,shamin,1,0.0169,0
kyushu,ldp,46,0.377,9
kyushu,jcp,29,0.2377,5
kyushu,ishin,20,0.1639,4
kyushu,chudo,14,0.1148,2
kyushu,independent,5,0.041,0
kyushu,sansei,4,0.0328,0
kyushu,mirai,3,0.0246,0
kyushu,dpfp,1,0.0082,0
