district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin
01_1,北海道1区,100,54,0.54,道下大樹,chudo,18,臼木秀剛,dpfp,17,1
01_2,北海道2区,100,52,0.52,松木謙公,chudo,21,平岡大介,jcp,10,11
01_3,北海道3区,100,54,0.54,高木宏寿,ldp,23,荒井優,chudo,21,2
01_4,北海道4区,100,51,0.51,大築紅葉,chudo,21,中村裕之,ldp,18,3
01_5,北海道5区,100,51,0.51,和田義明,ldp,26,池田真紀,chudo,25,1
01_6,北海道6区,100,58,0.58,東国幹,ldp,25,西川将人,chudo,23,2
01_7,北海道7区,100,56,0.56,鈴木貴子,ldp,41,篠田奈保子,chudo,15,26
01_8,北海道8区,100,51,0.51,逢坂誠二,chudo,30,向山淳,ldp,21,9
01_9,北海道9区,100,58,0.58,山岡達丸,chudo,22,松下英樹,ldp,17,5
01_10,北海道10区,100,54,0.54,神谷裕,chudo,28,渡辺孝一,ldp,26,2
01_11,北海道11区,100,47,0.47,中川紘一,ldp,23,石川香織,chudo,22,1
01_12,北海道12区,100,53,0.53,武部新,ldp,32,川原田英世,chudo,21,11
02_1,青森県1区,100,58,0.58,津島淳,ldp,32,升田世喜男,chudo,17,15
02_2,青森県2区,100,63,0.63,神田潤一,ldp,46,松尾和彦,chudo,10,36
02_3,青森県3区,100,61,0.61,木村次郎,ldp,25,岡田華子,chudo,23,2
03_1,岩手県1区,100,59,0.59,階猛,chudo,29,米内紘正,ldp,18,11
03_2,岩手県2区,100,69,0.69,鈴木俊一,ldp,55,佐々木真琴,dpfp,14,41
03_3,岩手県3区,100,63,0.63,小沢一郎,chudo,31,藤原崇,ldp,28,3
04_1,宮城県1区,100,57,0.57,土井亨,ldp,24,岡本章子,chudo,15,9
04_2,宮城県2区,100,57,0.57,鎌田さゆり,chudo,21,渡辺勝幸,ldp,17,4
04_3,宮城県3区,100,57,0.57,西村明宏,ldp,23,柳沢剛,chudo,21,2
04_4,宮城県4区,100,61,0.61,森下千里,ldp,35,安住淳,chudo,21,14
04_5,宮城県5区,100,64,0.64,小野寺五典,ldp,51,境恒春,chudo,9,42
04_6,宮城県6区,100,62,0.62,,,0,,,0,0
05_1,秋田県1区,100,68,0.68,冨樫博之,ldp,42,鈴木知,jcp,10,32
05_2,秋田県2区,100,59,0.59,福原淳嗣,ldp,37,緑川貴士,chudo,22,15
05_3,秋田県3区,100,67,0.67,御法川信英,ldp,55,村岡敏英,dpfp,12,43
06_1,山形県1区,100,57,0.57,原田和広,chudo,29,遠藤寛明,ldp,25,4
06_2,山形県2区,100,66,0.66,鈴木憲和,ldp,48,菊池大二郎,dpfp,14,34
06_3,山形県3区,100,54,0.54,加藤鮎子,ldp,38,落合拓磨,chudo,8,30
07_1,福島県1区,100,69,0.69,金子恵美,chudo,33,西山尚利,ldp,32,1
07_2,福島県2区,100,64,0.64,玄葉光一郎,chudo,28,根本拓,ldp,26,2
07_3,福島県3区,100,63,0.63,小熊慎司,chudo,34,上杉謙太郎,ldp,24,10
07_4,福島県4区,100,57,0.57,坂本竜太郎,ldp,33,斎藤裕喜,chudo,20,13
07_5,福島県5区,100,73,0.73,,,0,,,0,0
08_1,茨城県1区,100,71,0.71,田所嘉徳,ldp,41,福島伸享,independent,18,23
08_2,茨城県2区,100,73,0.73,額賀福志郎,ldp,50,谷川祐一,dpfp,10,40
08_3,茨城県3区,100,72,0.72,葉梨康弘,ldp,51,梶岡博樹,chudo,12,39
08_4,茨城県4区,100,73,0.73,梶山弘志,ldp,64,吉田翔,jcp,9,55
08_5,茨城県5区,100,67,0.67,鈴木拓海,ldp,35,浅野哲,dpfp,32,3
08_6,茨城県6区,100,74,0.74,国光文乃,ldp,41,青山大人,independent,16,25
08_7,茨城県7区,100,65,0.65,永岡桂子,ldp,51,中村勇太,independent,14,37
09_1,栃木県1区,100,72,0.72,船田元,ldp,42,小池篤史,chudo,9,33
09_2,栃木県2区,100,71,0.71,五十嵐清,ldp,46,福田昭夫,chudo,20,26
09_3,栃木県3区,100,72,0.72,簗和生,ldp,59,伊賀央,chudo,7,52
09_4,栃木県4区,100,71,0.71,石坂太,ldp,36,藤岡隆雄,chudo,24,12
09_5,栃木県5区,100,72,0.72,茂木敏充,ldp,54,寺田和史,dpfp,11,43
10_1,群馬県1区,100,65,0.65,中曽根康隆,ldp,43,河村正剛,chudo,15,28
10_2,群馬県2区,100,68,0.68,井野俊郎,ldp,49,石関貴史,independent,6,43
10_3,群馬県3区,100,67,0.67,笹川博義,ldp,47,長谷川嘉一,chudo,20,27
10_4,群馬県4区,100,70,0.7,福田達夫,ldp,49,伊藤達也,jcp,11,38
10_5,群馬県5区,100,74,0.74,小渕優子,ldp,68,木暮智貴,sansei,6,62
11_1,埼玉県1区,100,67,0.67,武正公一,chudo,24,村井英樹,ldp,21,3
11_2,埼玉県2区,100,69,0.69,新藤義孝,ldp,35,高橋英明,ishin,15,20
11_3,埼玉県3区,100,63,0.63,黄川田仁志,ldp,29,竹内千春,chudo,23,6
11_4,埼玉県4区,100,69,0.69,穂坂泰,ldp,30,岸田光広,dpfp,15,15
11_5,埼玉県5区,100,63,0.63,枝野幸男,chudo,27,井原隆,ldp,25,2
11_6,埼玉県6区,100,70,0.7,尾花瑛仁,ldp,25,大島敦,chudo,20,5
11_7,埼玉県7区,100,64,0.64,中野英幸,ldp,37,小宮山泰子,chudo,27,10
11_8,埼玉県8区,100,65,0.65,柴山昌彦,ldp,28,市来伴子,chudo,22,6
11_9,埼玉県9区,100,60,0.6,大塚拓,ldp,35,杉村慎治,chudo,25,10
11_10,埼玉県10区,100,60,0.6,山口晋,ldp,34,坂本祐之輔,chudo,26,8
11_11,埼玉県11区,100,64,0.64,小泉龍司,ldp,34,島田誠,chudo,12,22
11_12,埼玉県12区,100,66,0.66,野中厚,ldp,43,森田俊和,chudo,23,20
11_13,埼玉県13区,100,60,0.6,三ツ林裕巳,ldp,24,高井崇志,reiwa,13,11
11_14,埼玉県14区,100,65,0.65,藤田誠,ldp,24,苗村京子,jcp,16,8
11_15,埼玉県15区,100,62,0.62,田中良生,ldp,30,小山田経子,chudo,13,17
12_1,千葉県1区,100,54,0.54,田嶋要,chudo,26,門山宏哲,ldp,22,4
12_2,千葉県2区,100,70,0.7,小林鷹之,ldp,32,白石ちよ,jcp,22,10
12_3,千葉県3区,100,62,0.62,松野博一,ldp,36,山本政幸,sansei,10,26
12_4,千葉県4区,100,57,0.57,水沼秀幸,chudo,17,鹿嶋祐介,ldp,16,1
12_5,千葉県5区,100,74,0.74,英利アルフィヤ,ldp,32,矢崎堅太郎,chudo,18,14
12_6,千葉県6区,100,76,0.76,渡辺博道,ldp,37,出羽幹子,sansei,12,25
12_7,千葉県7区,100,70,0.7,斎藤健,ldp,46,林田章裕,dpfp,16,30
12_8,千葉県8区,100,59,0.59,本庄知史,chudo,22,松本泉,ldp,19,3
12_9,千葉県9区,100,64,0.64,奥野総一郎,chudo,23,田宮寿人,ldp,18,5
12_10,千葉県10区,100,67,0.67,小池正昭,ldp,27,谷田川元,chudo,22,5
12_11,千葉県11区,100,66,0.66,森英介,ldp,34,多ケ谷亮,chudo,22,12
12_12,千葉県12区,100,76,0.76,浜田靖一,ldp,37,葛原茂,jcp,22,15
12_13,千葉県13区,100,69,0.69,松本尚,ldp,42,宮川伸,chudo,20,22
13_1,東京都1区,100,62,0.62,山田美樹,ldp,22,海江田万里,chudo,16,6
13_2,東京都2区,100,63,0.63,辻清人,ldp,14,海江田悠輔,sansei,13,1
13_3,東京都3区,100,62,0.62,石崎徹,ishin,26,阿部祐美子,chudo,15,11
13_4,東京都4区,100,68,0.68,平将明,ldp,27,井戸正枝,dpfp,19,8
13_5,東京都5区,100,58,0.58,若宮健嗣,ldp,25,桑水流弓紀子,dpfp,12,13
13_6,東京都6区,100,63,0.63,畦元将吾,ldp,22,丸山勝己,dpfp,14,8
13_7,東京都7区,100,50,0.5,丸川珠代,ldp,12,松尾明弘,chudo,12,0
13_8,東京都8区,100,55,0.55,森田一成,dpfp,12,吉田晴美,chudo,12,0
13_9,東京都9区,100,56,0.56,菅原一秀,ldp,17,山岸一生,chudo,15,2
13_10,東京都10区,100,58,0.58,鈴木隼人,ldp,16,鈴木庸介,chudo,14,2
13_11,東京都11区,100,67,0.67,下村博文,ldp,16,阿久津幸彦,chudo,14,2
13_12,東京都12区,100,62,0.62,黒石裕子,sansei,13,高木啓,ldp,13,0
13_13,東京都13区,100,60,0.6,森洋介,dpfp,22,加地敏子,sansei,13,9
13_14,東京都14区,100,61,0.61,松島みどり,ldp,21,櫛渕万里,reiwa,17,4
13_15,東京都15区,100,59,0.59,酒井菜摘,chudo,18,三次由梨香,ishin,14,4
13_16,東京都16区,100,58,0.58,大西洋平,ldp,18,竹内知子,dpfp,15,3
13_17,東京都17区,100,59,0.59,平沢勝栄,ldp,13,反田麻理,chudo,12,1
13_18,東京都18区,100,67,0.67,福田かおる,ldp,28,鈴木佑馬,dpfp,14,14
13_19,東京都19区,100,61,0.61,松本洋平,ldp,25,末松義規,chudo,19,6
13_20,東京都20区,100,63,0.63,木原誠二,ldp,24,大西健太郎,dpfp,17,7
13_21,東京都21区,100,66,0.66,小田原潔,ldp,26,鈴木烈,chudo,18,8
13_22,東京都22区,100,66,0.66,伊藤達也,ldp,28,山花郁夫,chudo,24,4
13_23,東京都23区,100,67,0.67,川松真一朗,ldp,25,伊藤俊輔,chudo,20,5
13_24,東京都24区,100,52,0.52,萩生田光一,ldp,15,細屋椋,dpfp,11,4
13_25,東京都25区,100,60,0.6,井上信治,ldp,16,依田花蓮,chudo,12,4
14_1,神奈川県1区,100,54,0.54,浅川義治,ishin,21,篠原豪,chudo,19,2
14_2,神奈川県2区,100,65,0.65,新田章文,ldp,20,片山智絵,dpfp,18,2
14_3,神奈川県3区,100,60,0.6,中村武人,chudo,17,中西健治,ldp,17,0
14_4,神奈川県4区,100,66,0.66,永田磨梨奈,ldp,39,早稲田夕季,chudo,22,17
14_5,神奈川県5区,100,64,0.64,坂井学,ldp,23,久坂くにえ,ishin,17,6
14_6,神奈川県6区,100,68,0.68,古川直季,ldp,35,青柳陽一郎,chudo,33,2
14_7,神奈川県7区,100,58,0.58,鈴木馨祐,ldp,32,中谷一馬,chudo,26,6
14_8,神奈川県8区,100,50,0.5,三谷英弘,ldp,27,江田憲司,chudo,23,4
14_9,神奈川県9区,100,58,0.58,上原正裕,ldp,22,笠浩史,chudo,19,3
14_10,神奈川県10区,100,66,0.66,田中和徳,ldp,20,金村龍那,ishin,14,6
14_11,神奈川県11区,100,58,0.58,小泉進次郎,ldp,28,為壮稔,jcp,22,6
14_12,神奈川県12区,100,55,0.55,星野剛士,ldp,29,阿部知子,chudo,12,17
14_13,神奈川県13区,100,65,0.65,丸田康一郎,ldp,29,太栄志,chudo,23,6
14_14,神奈川県14区,100,60,0.6,赤間二郎,ldp,27,長友克洋,chudo,13,14
14_15,神奈川県15区,100,68,0.68,河野太郎,ldp,28,三好諒,reiwa,18,10
14_16,神奈川県16区,100,68,0.68,佐藤主迪,ldp,35,後藤祐一,chudo,33,2
14_17,神奈川県17区,100,58,0.58,牧島かれん,ldp,23,佐々木奈保美,chudo,21,2
15_1,新潟県1区,100,55,0.55,内山航,ldp,19,中村岳夫,jcp,14,5
15_2,新潟県2区,100,56,0.56,国定勇人,ldp,22,菊田真紀子,chudo,15,7
15_3,新潟県3区,100,61,0.61,斎藤洋明,ldp,32,黒岩宇洋,chudo,20,12
15_4,新潟県4区,100,59,0.59,鷲尾英一郎,ldp,30,野村泰暉,dpfp,10,20
15_5,新潟県5区,100,62,0.62,高鳥修一,ldp,38,梅谷守,chudo,18,20
15_6,新潟県6区,100,67,0.67,,,0,,,0,0
16_1,富山県1区,100,47,0.47,中田宏,ldp,30,山登志浩,chudo,7,23
16_2,富山県2区,100,55,0.55,上田英俊,ldp,33,越川康晴,chudo,22,11
16_3,富山県3区,100,55,0.55,橘慶一郎,ldp,35,山本圭太,dpfp,11,24
17_1,石川県1区,100,54,0.54,小森卓郎,ldp,23,小竹凱,dpfp,11,12
17_2,石川県2区,100,54,0.54,佐々木紀,ldp,39,坂本浩,jcp,15,24
17_3,石川県3区,100,56,0.56,西田昭二,ldp,35,近藤和也,chudo,11,24
18_1,福井県1区,100,57,0.57,稲田朋美,ldp,35,山中俊祐,dpfp,9,26
18_2,福井県2区,100,55,0.55,辻英之,chudo,29,斉木武志,independent,26,3
19_1,山梨県1区,100,71,0.71,中谷真一,ldp,44,中島克仁,chudo,15,29
19_2,山梨県2区,100,71,0.71,堀内詔子,ldp,51,早田記史,jcp,20,31
20_1,長野県1区,100,66,0.66,若林健太,ldp,30,篠原孝,chudo,29,1
20_2,長野県2区,100,66,0.66,藤田ひかる,ldp,29,下条みつ,chudo,22,7
20_3,長野県3区,100,69,0.69,井出庸生,ldp,43,神津健,chudo,15,28
20_4,長野県4区,100,62,0.62,後藤茂之,ldp,35,武田良介,jcp,16,19
20_5,長野県5区,100,71,0.71,宮下一郎,ldp,52,福田淳太,chudo,19,33
21_1,岐阜県1区,100,65,0.65,野田聖子,ldp,41,波多野純子,jcp,10,31
21_2,岐阜県2区,100,71,0.71,棚橋泰文,ldp,38,野村美穂,dpfp,11,27
21_3,岐阜県3区,100,73,0.73,武藤容治,ldp,38,仙田晃宏,dpfp,18,20
21_4,岐阜県4区,100,71,0.71,今井雅人,chudo,33,加藤大博,ldp,31,2
21_5,岐阜県5区,100,70,0.7,古屋圭司,ldp,39,真野哲,chudo,16,23
22_1,静岡県1区,100,68,0.68,上川陽子,ldp,41,柴田将平,dpfp,17,24
22_2,静岡県2区,100,51,0.51,井林辰憲,ldp,34,鈴木岳幸,chudo,17,17
22_3,静岡県3区,100,70,0.7,小山展弘,chudo,35,山本裕三,ldp,28,7
22_4,静岡県4区,100,60,0.6,深沢陽一,ldp,26,田中健,dpfp,23,3
22_5,静岡県5区,100,69,0.69,細野豪志,ldp,46,下山一美,jcp,12,34
22_6,静岡県6区,100,70,0.7,勝俣孝明,ldp,41,渡辺周,chudo,23,18
22_7,静岡県7区,100,68,0.68,城内実,ldp,46,北野谷富子,dpfp,15,31
22_8,静岡県8区,100,64,0.64,源馬謙太郎,chudo,28,稲葉大輔,ldp,22,6
23_1,愛知県1区,100,71,0.71,熊田裕通,ldp,23,吉田統彦,chudo,23,0
23_2,愛知県2区,100,55,0.55,古川元久,dpfp,25,辻秀樹,ldp,14,11
23_3,愛知県3区,100,63,0.63,近藤昭一,chudo,24,平岩征樹,genzei,18,6
23_4,愛知県4区,100,62,0.62,工藤彰三,ldp,21,牧義夫,chudo,21,0
23_5,愛知県5区,100,61,0.61,西川厚志,chudo,27,岡本康宏,ldp,13,14
23_6,愛知県6区,100,56,0.56,丹羽秀樹,ldp,25,国崎信江,chudo,11,14
23_7,愛知県7区,100,69,0.69,日野紗里亜,dpfp,37,鈴木淳司,ldp,22,15
23_8,愛知県8区,100,64,0.64,伊藤忠彦,ldp,31,伴野豊,chudo,28,3
23_9,愛知県9区,100,60,0.6,岡本充功,chudo,24,長坂康正,ldp,17,7
23_10,愛知県10区,100,58,0.58,若山慎司,ldp,18,杉本和巳,ishin,16,2
23_11,愛知県11区,100,64,0.64,丹野みどり,dpfp,38,藤沢忠盛,ldp,26,12
23_12,愛知県12区,100,77,0.77,重徳和彦,chudo,42,青山周平,ldp,28,14
23_13,愛知県13区,100,59,0.59,大西健介,chudo,27,石井拓,ldp,26,1
