district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin
01_1,北海道1区,100,50,0.5,道下大樹,chudo,25,加藤貴弘,ldp,10,15
01_10,北海道10区,100,44,0.44,神谷裕,chudo,23,渡辺孝一,ldp,21,2
01_11,北海道11区,100,35,0.35,中川紘一,ldp,21,石川香織,chudo,14,7
01_12,北海道12区,100,44,0.44,武部新,ldp,24,川原田英世,chudo,20,4
01_2,北海道2区,100,34,0.34,松木謙公,chudo,16,高橋祐介,ldp,11,5
01_3,北海道3区,100,36,0.36,高木宏寿,ldp,13,荒井優,chudo,12,1
01_4,北海道4区,100,44,0.44,中村裕之,ldp,18,大築紅葉,chudo,14,4
01_5,北海道5区,100,39,0.39,池田真紀,other,23,和田義明,ldp,16,7
01_6,北海道6区,100,35,0.35,西川将人,chudo,23,東国幹,ldp,8,15
01_7,北海道7区,100,43,0.43,篠田奈保子,chudo,22,鈴木貴子,ldp,21,1
01_8,北海道8区,100,47,0.47,逢坂誠二,chudo,33,向山淳,ldp,14,19
01_9,北海道9区,100,49,0.49,山岡達丸,chudo,22,松下英樹,ldp,20,2
02_1,青森県1区,100,38,0.38,津島淳,other,23,升田世喜男,chudo,10,13
02_2,青森県2区,100,46,0.46,神田潤一,ldp,25,松尾和彦,chudo,11,14
02_3,青森県3区,100,39,0.39,木村次郎,ldp,20,岡田華子,chudo,15,5
03_1,岩手県1区,100,50,0.5,階猛,chudo,34,米内紘正,ldp,10,24
03_2,岩手県2区,100,52,0.52,鈴木俊一,ldp,31,佐々木真琴,dpfp,21,10
03_3,岩手県3区,100,46,0.46,小沢一郎,chudo,28,藤原崇,ldp,17,11
04_1,宮城県1区,100,34,0.34,岡本章子,chudo,16,土井亨,ldp,14,2
04_2,宮城県2区,100,54,0.54,鎌田さゆり,chudo,23,渡辺勝幸,ldp,12,11
04_3,宮城県3区,100,61,0.61,西村明宏,ldp,30,柳沢剛,chudo,24,6
04_4,宮城県4区,100,55,0.55,安住淳,chudo,26,森下千里,ldp,25,1
04_5,宮城県5区,100,51,0.51,小野寺五典,ldp,31,境恒春,chudo,12,19
05_1,秋田県1区,100,45,0.45,冨樫博之,ldp,23,早川周作,chudo,10,13
05_2,秋田県2区,100,57,0.57,緑川貴士,chudo,33,福原淳嗣,ldp,24,9
05_3,秋田県3区,100,45,0.45,御法川信英,ldp,23,村岡敏英,dpfp,22,1
06_1,山形県1区,100,45,0.45,遠藤寛明,ldp,20,原田和広,chudo,19,1
06_2,山形県2区,100,49,0.49,鈴木憲和,ldp,27,菊池大二郎,dpfp,16,11
06_3,山形県3区,100,44,0.44,加藤鮎子,ldp,28,落合拓磨,chudo,11,17
07_1,福島県1区,100,55,0.55,金子恵美,chudo,27,西山尚利,ldp,22,5
07_2,福島県2区,100,49,0.49,根本拓,ldp,23,玄葉光一郎,chudo,18,5
07_3,福島県3区,100,52,0.52,小熊慎司,chudo,27,上杉謙太郎,ldp,20,7
07_4,福島県4区,100,50,0.5,斎藤裕喜,chudo,25,坂本竜太郎,ldp,19,6
08_1,茨城県1区,100,59,0.59,田所嘉徳,ldp,25,福島伸享,independent,24,1
08_2,茨城県2区,100,61,0.61,額賀福志郎,ldp,34,小沼巧,chudo,18,16
08_3,茨城県3区,100,55,0.55,葉梨康弘,ldp,26,梶岡博樹,chudo,13,13
08_4,茨城県4区,100,63,0.63,梶山弘志,ldp,48,吉田翔,chudo,15,33
08_5,茨城県5区,100,60,0.6,浅野哲,dpfp,40,鈴木拓海,ldp,20,20
08_6,茨城県6区,100,51,0.51,青山大人,independent,21,国光文乃,ldp,21,0
08_7,茨城県7区,100,58,0.58,永岡桂子,ldp,33,中村勇太,independent,25,8
09_1,栃木県1区,100,67,0.67,船田元,ldp,27,小池篤史,chudo,15,12
09_2,栃木県2区,100,62,0.62,福田昭夫,chudo,31,五十嵐清,ldp,26,5
09_3,栃木県3区,100,53,0.53,簗和生,ldp,32,伊賀央,chudo,16,16
09_4,栃木県4区,100,63,0.63,石坂太,ldp,29,藤岡隆雄,chudo,21,8
09_5,栃木県5区,100,60,0.6,茂木敏充,ldp,39,寺田和史,dpfp,14,25
10_1,群馬県1区,100,67,0.67,中曽根康隆,ldp,35,河村正剛,chudo,22,13
10_2,群馬県2区,100,62,0.62,井野俊郎,ldp,32,石関貴史,independent,15,17
10_3,群馬県3区,100,58,0.58,笹川博義,ldp,40,長谷川嘉一,chudo,18,22
10_4,群馬県4区,100,58,0.58,福田達夫,ldp,33,山田博規,chudo,17,16
10_5,群馬県5区,100,52,0.52,小渕優子,ldp,49,木暮智貴,sansei,3,46
11_1,埼玉県1区,100,47,0.47,武正公一,chudo,27,村井英樹,ldp,17,10
11_10,埼玉県10区,100,58,0.58,坂本祐之輔,chudo,33,山口晋,ldp,25,8
11_11,埼玉県11区,100,55,0.55,小泉龍司,ldp,19,島田誠,chudo,18,1
11_12,埼玉県12区,100,63,0.63,野中厚,ldp,34,森田俊和,other,29,5
11_13,埼玉県13区,100,49,0.49,三ツ林裕巳,ldp,21,橋本幹彦,dpfp,14,7
11_14,埼玉県14区,100,56,0.56,藤田誠,ldp,27,鈴木義弘,dpfp,20,7
11_15,埼玉県15区,100,54,0.54,小山田経子,chudo,21,田中良生,ldp,19,2
11_16,埼玉県16区,100,58,0.58,土屋品子,ldp,32,三角創太,chudo,18,14
11_2,埼玉県2区,100,59,0.59,新藤義孝,ldp,29,高橋英明,ishin,15,14
11_3,埼玉県3区,100,59,0.59,竹内千春,chudo,26,黄川田仁志,ldp,26,0
11_4,埼玉県4区,100,59,0.59,穂坂泰,ldp,27,岸田光広,dpfp,15,12
11_5,埼玉県5区,100,60,0.6,枝野幸男,chudo,29,井原隆,ldp,24,5
11_6,埼玉県6区,100,56,0.56,大島敦,chudo,21,尾花瑛仁,ldp,15,6
11_7,埼玉県7区,100,58,0.58,小宮山泰子,chudo,29,中野英幸,ldp,29,0
11_8,埼玉県8区,100,56,0.56,柴山昌彦,ldp,26,市来伴子,chudo,24,2
11_9,埼玉県9区,100,57,0.57,大塚拓,ldp,29,杉村慎治,chudo,28,1
12_1,千葉県1区,100,54,0.54,門山宏哲,ldp,26,田嶋要,chudo,24,2
12_10,千葉県10区,100,54,0.54,小池正昭,ldp,27,谷田川元,chudo,20,7
12_11,千葉県11区,100,62,0.62,森英介,ldp,40,多ケ谷亮,chudo,18,22
12_12,千葉県12区,100,58,0.58,浜田靖一,ldp,48,葛原茂,jcp,6,42
12_13,千葉県13区,100,53,0.53,松本尚,ldp,26,宮川伸,chudo,21,5
12_14,千葉県14区,100,65,0.65,野田佳彦,chudo,32,長野春信,ldp,21,11
12_2,千葉県2区,100,51,0.51,小林鷹之,ldp,29,白石ちよ,jcp,11,18
12_3,千葉県3区,100,50,0.5,松野博一,ldp,26,岡島一正,chudo,17,9
