district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin
11_16,埼玉県16区,100,61,0.61,土屋品子,ldp,30,三角創太,chudo,23,7
12_14,千葉県14区,100,58,0.58,野田佳彦,chudo,32,長野春信,ldp,22,10
13_26,東京都26区,100,52,0.52,宇佐美登,mirai,15,松原仁,chudo,12,3
13_27,東京都27区,100,52,0.52,長妻昭,chudo,27,黒崎祐一,ldp,16,11
13_28,東京都28区,100,51,0.51,安藤高夫,ldp,17,高松智之,chudo,11,6
13_29,東京都29区,100,47,0.47,木村剛司,chudo,17,長沢興祐,ldp,15,2
13_30,東京都30区,100,60,0.6,五十嵐衣里,chudo,24,長島昭久,ldp,19,5
14_18,神奈川県18区,100,56,0.56,山際大志郎,ldp,18,宗野創,chudo,15,3
14_19,神奈川県19区,100,56,0.56,草間剛,ldp,23,深作ヘスス,dpfp,22,1
14_20,神奈川県20区,100,53,0.53,大塚小百合,chudo,30,金沢結衣,ldp,16,14
23_16,愛知県16区,100,54,0.54,松田功,chudo,23,山下史守朗,ldp,12,11
47_4,沖縄県4区,100,54,0.54,西銘恒三郎,ldp,26,山川仁,reiwa,17,9
