block,party,vote_count,vote_share,seats_won
hokkaido,ldp,20,0.4444,4
hokkaido,chudo,12,0.2667,3
hokkaido,dpfp,4,0.0889,1
hokkaido,reiwa,4,0.0889,0
hokkaido,ishin,3,0.0667,0
hokkaido,jcp,2,0.0444,0
tohoku,ldp,18,0.439,6
tohoku,chudo,7,0.1707,2
tohoku,dpfp,5,0.122,1
tohoku,ishin,4,0.0976,1
tohoku,sansei,4,0.0976,1
tohoku,jcp,3,0.0732,1
tokyo,chudo,19,0.3276,7
tokyo,ldp,15,0.2586,5
tokyo,ishin,12,0.2069,4
tokyo,jcp,6,0.1034,2
tokyo,sansei,4,0.069,1
tokyo,reiwa,2,0.0345,0
minamikanto,chudo,22,0.3793,10
minamikanto,ldp,18,0.3103,8
minamikanto,ishin,9,0.1552,4
minamikanto,dpfp,3,0.0517,1
minamikanto,sansei,2,0.0345,0
minamikanto,jcp,2,0.0345,0
minamikanto,reiwa,1,0.0172,0
minamikanto,komei,1,0.0172,0
tokai,ldp,22,0.3607,8
tokai,chudo,20,0.3279,8
tokai,genzei,5,0.082,2
tokai,dpfp,5,0.082,2
tokai,ishin,4,0.0656,1
tokai,sansei,2,0.0328,0
tokai,jcp,2,0.0328,0
tokai,reiwa,1,0.0164,0
kinki,ldp,34,0.3238,9
kinki,ishin,31,0.2952,9
kinki,chudo,16,0.1524,4
kinki,jcp,9,0.0857,2
kinki,dpfp,7,0.0667,2
kinki,reiwa,4,0.0381,1
kinki,sansei,4,0.0381,1
chugoku,ldp,26,0.4062,5
chugoku,chudo,21,0.3281,4
chugoku,dpfp,8,0.125,1
chugoku,jcp,5,0.0781,0
chugoku,sansei,2,0.0312,0
chugoku,reiwa,1,0.0156,0
chugoku,島根原発問題への一貫した姿勢と、大政党に頼らない独立した政治姿勢を評価。物価高への具体的対策も期待できる。,1,0.0156,0
kyushu,ldp,43,0.3707,9
kyushu,ishin,19,0.1638,4
kyushu,chudo,18,0.1552,3
kyushu,jcp,17,0.1466,3
kyushu,reiwa,9,0.0776,1
kyushu,sansei,4,0.0345,0
kyushu,dpfp,4,0.0345,0
kyushu,立憲民主党,2,0.0172,0
