district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin
01_1,北海道1区,100,37,0.37,道下大樹,chudo,15,加藤貴弘,ldp,9,6
01_2,北海道2区,100,43,0.43,松木謙公,dpfp,19,高橋祐介,ldp,13,6
01_3,北海道3区,100,30,0.3,高木宏寿,ldp,12,荒井優,chudo,10,2
01_4,北海道4区,100,41,0.41,中村裕之,ldp,17,大築紅葉,chudo,16,1
01_5,北海道5区,100,39,0.39,池田真紀,sansei,22,和田義明,ldp,17,5
01_6,北海道6区,100,42,0.42,東国幹,ldp,18,西川将人,chudo,18,0
01_7,北海道7区,100,36,0.36,篠田奈保子,chudo,20,鈴木貴子,ldp,16,4
01_8,北海道8区,100,47,0.47,逢坂誠二,chudo,28,向山淳,ldp,19,9
01_9,北海道9区,100,45,0.45,山岡達丸,chudo,21,松下英樹,ldp,19,2
01_10,北海道10区,100,43,0.43,神谷裕,chudo,24,渡辺孝一,ldp,19,5
01_11,北海道11区,100,39,0.39,石川香織,chudo,21,中川紘一,ldp,13,8
01_12,北海道12区,100,38,0.38,武部新,ldp,22,川原田英世,sansei,16,6
02_1,青森県1区,100,41,0.41,津島淳,ldp,24,升田世喜男,chudo,11,13
02_2,青森県2区,100,49,0.49,神田潤一,ldp,27,松尾和彦,chudo,9,18
02_3,青森県3区,100,55,0.55,木村次郎,ldp,27,岡田華子,chudo,22,5
03_1,岩手県1区,100,52,0.52,米内紘正,ldp,23,階猛,chudo,23,0
03_2,岩手県2区,100,52,0.52,鈴木俊一,ldp,28,佐々木真琴,dpfp,24,4
03_3,岩手県3区,100,46,0.46,小沢一郎,chudo,27,藤原崇,ldp,17,10
04_1,宮城県1区,100,51,0.51,岡本章子,chudo,17,土井亨,ldp,15,2
04_2,宮城県2区,100,54,0.54,鎌田さゆり,chudo,27,渡辺勝幸,ldp,15,12
04_3,宮城県3区,100,57,0.57,西村明宏,ldp,25,柳沢剛,chudo,16,9
04_4,宮城県4区,100,53,0.53,森下千里,ldp,25,安住淳,chudo,24,1
04_5,宮城県5区,100,44,0.44,小野寺五典,ldp,26,境恒春,chudo,15,11
05_1,秋田県1区,100,41,0.41,冨樫博之,ldp,21,早川周作,chudo,7,14
05_2,秋田県2区,100,50,0.5,福原淳嗣,ldp,28,緑川貴士,chudo,22,6
05_3,秋田県3区,100,46,0.46,村岡敏英,dpfp,26,御法川信英,ldp,20,6
06_1,山形県1区,100,41,0.41,原田和広,chudo,21,遠藤寛明,ldp,18,3
06_2,山形県2区,100,45,0.45,鈴木憲和,ldp,28,菊池大二郎,dpfp,13,15
06_3,山形県3区,100,59,0.59,加藤鮎子,ldp,32,落合拓磨,chudo,16,16
07_1,福島県1区,100,52,0.52,金子恵美,chudo,28,西山尚利,ldp,20,8
07_2,福島県2区,100,53,0.53,根本拓,ldp,24,玄葉光一郎,chudo,19,5
07_3,福島県3区,100,48,0.48,小熊慎司,chudo,28,上杉謙太郎,ldp,16,12
07_4,福島県4区,100,52,0.52,坂本竜太郎,ldp,20,斎藤裕喜,chudo,15,5
08_1,茨城県1区,100,62,0.62,田所嘉徳,ldp,28,福島伸享,independent,22,6
