block,party,vote_count,vote_share,seats_won
hokkaido,ldp,90,0.4945,5
hokkaido,chudo,41,0.2253,2
hokkaido,ishin,17,0.0934,1
hokkaido,jcp,15,0.0824,0
hokkaido,dpfp,13,0.0714,0
hokkaido,sansei,4,0.022,0
hokkaido,reiwa,2,0.011,0
tohoku,ldp,185,0.5286,8
tohoku,chudo,80,0.2286,3
tohoku,dpfp,34,0.0971,1
tohoku,ishin,21,0.06,0
tohoku,jcp,15,0.0429,0
tohoku,sansei,9,0.0257,0
tohoku,reiwa,5,0.0143,0
tohoku,投票理由（50-150文字）,1,0.0029,0
kitakanto,ldp,273,0.521,11
kitakanto,chudo,92,0.1756,4
kitakanto,ishin,52,0.0992,2
kitakanto,dpfp,40,0.0763,1
kitakanto,reiwa,27,0.0515,1
kitakanto,jcp,20,0.0382,0
kitakanto,sansei,20,0.0382,0
minamikanto,ldp,273,0.4773,12
minamikanto,chudo,133,0.2325,6
minamikanto,ishin,51,0.0892,2
minamikanto,dpfp,38,0.0664,1
minamikanto,jcp,30,0.0524,1
minamikanto,reiwa,26,0.0455,1
minamikanto,sansei,16,0.028,0
minamikanto,genzei,2,0.0035,0
minamikanto,shamin,2,0.0035,0
minamikanto,mirai,1,0.0017,0
tokyo,ldp,193,0.4318,9
tokyo,chudo,89,0.1991,4
tokyo,ishin,56,0.1253,2
tokyo,dpfp,39,0.0872,2
tokyo,jcp,31,0.0694,1
tokyo,sansei,20,0.0447,1
tokyo,reiwa,19,0.0425,0
hokurikushinetsu,ldp,148,0.4884,6
hokurikushinetsu,chudo,64,0.2112,2
hokurikushinetsu,ishin,25,0.0825,1
hokurikushinetsu,dpfp,24,0.0792,1
hokurikushinetsu,jcp,17,0.0561,0
hokurikushinetsu,sansei,10,0.033,0
hokurikushinetsu,reiwa,8,0.0264,0
hokurikushinetsu,自由民主党,7,0.0231,0
tokai,ldp,252,0.4874,12
tokai,chudo,97,0.1876,4
tokai,ishin,50,0.0967,2
tokai,dpfp,49,0.0948,2
tokai,jcp,32,0.0619,1
tokai,reiwa,17,0.0329,0
tokai,sansei,16,0.0309,0
tokai,genzei,4,0.0077,0
kinki,ldp,309,0.4334,13
kinki,ishin,169,0.237,7
kinki,chudo,115,0.1613,5
kinki,jcp,54,0.0757,2
kinki,sansei,24,0.0337,1
kinki,reiwa,22,0.0309,0
kinki,dpfp,20,0.0281,0
chugoku,ldp,145,0.5254,7
chugoku,chudo,53,0.192,2
chugoku,dpfp,26,0.0942,1
chugoku,jcp,19,0.0688,0
chugoku,ishin,19,0.0688,0
chugoku,reiwa,11,0.0399,0
chugoku,sansei,3,0.0109,0
shikoku,ldp,92,0.5576,5
shikoku,chudo,33,0.2,1
shikoku,dpfp,14,0.0848,0
shikoku,ishin,8,0.0485,0
shikoku,jcp,7,0.0424,0
shikoku,sansei,7,0.0424,0
shikoku,reiwa,4,0.0242,0
kyushu,ldp,294,0.5365,12
kyushu,chudo,98,0.1788,4
kyushu,ishin,49,0.0894,1
kyushu,dpfp,32,0.0584,1
kyushu,jcp,29,0.0529,1
kyushu,reiwa,25,0.0456,1
kyushu,sansei,15,0.0274,0
kyushu,shamin,3,0.0055,0
kyushu,中道改革連合の社会保障政策と女性の働き方改革への期待。自民党よりもバランスの取れた政策を支持。,1,0.0018,0
kyushu,genzei,1,0.0018,0
kyushu,hoshuto,1,0.0018,0
