district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin
01_1,北海道1区,100,25,0.25,道下大樹,chudo,12,加藤貴弘,ldp,8,4
01_2,北海道2区,100,33,0.33,高橋祐介,ldp,14,松木謙公,chudo,12,2
01_3,北海道3区,100,33,0.33,荒井優,chudo,14,高木宏寿,ldp,14,0
01_4,北海道4区,100,31,0.31,中村裕之,ldp,16,大築紅葉,chudo,10,6
01_5,北海道5区,100,40,0.4,和田義明,ldp,23,池田真紀,chudo,17,6
01_6,北海道6区,100,37,0.37,西川将人,chudo,17,東国幹,ldp,16,1
01_7,北海道7区,100,47,0.47,鈴木貴子,ldp,31,篠田奈保子,chudo,16,15
01_8,北海道8区,100,31,0.31,逢坂誠二,chudo,19,向山淳,ldp,12,7
01_9,北海道9区,100,36,0.36,山岡達丸,chudo,22,松下英樹,ldp,13,9
01_10,北海道10区,100,39,0.39,渡辺孝一,jcp,28,神谷裕,chudo,11,17
01_11,北海道11区,100,44,0.44,中川紘一,ldp,28,石川香織,chudo,15,13
01_12,北海道12区,100,41,0.41,武部新,ldp,27,川原田英世,chudo,14,13
02_1,青森県1区,100,31,0.31,津島淳,ldp,16,升田世喜男,chudo,8,8
02_2,青森県2区,100,39,0.39,神田潤一,ldp,22,松尾和彦,chudo,10,12
02_3,青森県3区,100,39,0.39,木村次郎,dpfp,25,岡田華子,chudo,10,15
03_1,岩手県1区,100,48,0.48,米内紘正,ldp,25,階猛,chudo,13,12
03_2,岩手県2区,100,54,0.54,鈴木俊一,ldp,41,佐々木真琴,dpfp,13,28
03_3,岩手県3区,100,52,0.52,藤原崇,ldp,25,小沢一郎,chudo,24,1
04_1,宮城県1区,100,47,0.47,土井亨,dpfp,23,岡本章子,chudo,16,7
04_2,宮城県2区,100,44,0.44,渡辺勝幸,ldp,23,鎌田さゆり,chudo,8,15
04_3,宮城県3区,100,49,0.49,柳沢剛,chudo,25,西村明宏,ldp,19,6
04_4,宮城県4区,100,59,0.59,森下千里,ldp,27,安住淳,chudo,23,4
04_5,宮城県5区,100,51,0.51,小野寺五典,ldp,31,境恒春,chudo,17,14
05_1,秋田県1区,100,51,0.51,冨樫博之,ldp,28,早川周作,chudo,8,20
05_2,秋田県2区,100,46,0.46,福原淳嗣,ldp,30,緑川貴士,chudo,16,14
05_3,秋田県3区,100,43,0.43,御法川信英,ldp,35,村岡敏英,dpfp,8,27
06_1,山形県1区,100,43,0.43,遠藤寛明,ldp,28,原田和広,chudo,11,17
06_2,山形県2区,100,48,0.48,鈴木憲和,ldp,36,菊池大二郎,dpfp,10,26
06_3,山形県3区,100,38,0.38,加藤鮎子,ldp,22,落合拓磨,chudo,7,15
07_1,福島県1区,100,56,0.56,西山尚利,ldp,33,金子恵美,chudo,21,12
07_2,福島県2区,100,43,0.43,根本拓,ldp,21,玄葉光一郎,chudo,13,8
07_3,福島県3区,100,50,0.5,小熊慎司,chudo,25,上杉謙太郎,ldp,21,4
07_4,福島県4区,100,63,0.63,坂本竜太郎,ldp,35,斎藤裕喜,chudo,13,22
08_1,茨城県1区,100,59,0.59,田所嘉徳,ldp,33,福島伸享,independent,23,10
08_2,茨城県2区,100,57,0.57,額賀福志郎,ldp,33,小沼巧,chudo,17,16
08_3,茨城県3区,100,57,0.57,葉梨康弘,ldp,40,梶岡博樹,chudo,11,29
08_4,茨城県4区,100,61,0.61,梶山弘志,ldp,59,吉田翔,jcp,2,57
08_5,茨城県5区,100,57,0.57,鈴木拓海,ldp,46,浅野哲,dpfp,11,35
08_6,茨城県6区,100,55,0.55,国光文乃,ldp,30,青山大人,independent,17,13
08_7,茨城県7区,100,61,0.61,永岡桂子,ldp,41,中村勇太,independent,20,21
09_1,栃木県1区,100,56,0.56,船田元,ldp,29,小池篤史,chudo,15,14
09_2,栃木県2区,100,64,0.64,五十嵐清,ldp,38,福田昭夫,chudo,24,14
09_3,栃木県3区,100,56,0.56,簗和生,ldp,39,伊賀央,chudo,13,26
09_4,栃木県4区,100,56,0.56,石坂太,ldp,35,藤岡隆雄,chudo,18,17
09_5,栃木県5区,100,61,0.61,茂木敏充,ldp,38,寺田和史,dpfp,16,22
10_1,群馬県1区,100,53,0.53,中曽根康隆,ldp,31,河村正剛,chudo,19,12
10_2,群馬県2区,100,61,0.61,井野俊郎,ldp,41,原和隆,dpfp,11,30
10_3,群馬県3区,100,64,0.64,笹川博義,ldp,40,長谷川嘉一,chudo,24,16
10_4,群馬県4区,100,62,0.62,福田達夫,ldp,43,山田博規,chudo,17,26
10_5,群馬県5区,100,55,0.55,小渕優子,ldp,46,木暮智貴,sansei,9,37
11_1,埼玉県1区,100,39,0.39,村井英樹,ldp,17,武正公一,chudo,15,2
11_2,埼玉県2区,100,53,0.53,新藤義孝,ldp,28,高橋英明,ishin,9,19
11_3,埼玉県3区,100,49,0.49,黄川田仁志,ldp,26,竹内千春,chudo,18,8
11_4,埼玉県4区,100,53,0.53,穂坂泰,ldp,26,岸田光広,dpfp,15,11
11_5,埼玉県5区,100,38,0.38,井原隆,ldp,19,枝野幸男,chudo,18,1
11_6,埼玉県6区,100,54,0.54,尾花瑛仁,ldp,27,大島敦,chudo,14,13
11_7,埼玉県7区,100,50,0.5,中野英幸,ldp,29,小宮山泰子,chudo,21,8
11_8,埼玉県8区,100,60,0.6,柴山昌彦,ldp,34,市来伴子,chudo,17,17
11_9,埼玉県9区,100,68,0.68,大塚拓,ldp,36,杉村慎治,chudo,32,4
11_10,埼玉県10区,100,52,0.52,山口晋,ldp,29,坂本祐之輔,chudo,23,6
11_11,埼玉県11区,100,58,0.58,小泉龍司,ldp,38,島田誠,chudo,11,27
11_12,埼玉県12区,100,58,0.58,野中厚,ldp,35,森田俊和,chudo,23,12
11_13,埼玉県13区,100,57,0.57,三ツ林裕巳,ldp,27,橋本幹彦,dpfp,11,16
11_14,埼玉県14区,100,57,0.57,藤田誠,ldp,29,鈴木義弘,dpfp,21,8
11_15,埼玉県15区,100,53,0.53,田中良生,ldp,23,小山田経子,chudo,18,5
11_16,埼玉県16区,100,49,0.49,土屋品子,ldp,29,三角創太,chudo,19,10
12_1,千葉県1区,100,42,0.42,門山宏哲,ldp,23,田嶋要,chudo,15,8
12_2,千葉県2区,100,59,0.59,小林鷹之,ldp,34,佐藤由美,chudo,22,12
12_3,千葉県3区,100,48,0.48,松野博一,ldp,29,岡島一正,chudo,15,14
12_4,千葉県4区,100,55,0.55,水沼秀幸,chudo,23,鹿嶋祐介,ldp,22,1
12_5,千葉県5区,100,50,0.5,英利アルフィヤ,ldp,22,矢崎堅太郎,chudo,11,11
12_6,千葉県6区,100,57,0.57,渡辺博道,ldp,28,安藤淳子,chudo,13,15
12_7,千葉県7区,100,62,0.62,斎藤健,ldp,35,林田章裕,dpfp,16,19
12_8,千葉県8区,100,51,0.51,松本泉,ldp,29,本庄知史,chudo,14,15
12_9,千葉県9区,100,55,0.55,田宮寿人,ldp,32,奥野総一郎,chudo,15,17
12_10,千葉県10区,100,65,0.65,小池正昭,ldp,36,谷田川元,ishin,22,14
12_11,千葉県11区,100,58,0.58,森英介,ldp,34,多ケ谷亮,chudo,20,14
12_12,千葉県12区,100,56,0.56,浜田靖一,ldp,37,大薄裕也,independent,10,27
12_13,千葉県13区,100,54,0.54,松本尚,ldp,33,宮川伸,chudo,13,20
12_14,千葉県14区,100,54,0.54,野田佳彦,chudo,26,長野春信,ldp,24,2
13_1,東京都1区,100,50,0.5,山田美樹,ldp,17,海江田万里,chudo,16,1
13_2,東京都2区,100,55,0.55,辻清人,ldp,28,土橋章宏,mirai,9,19
13_3,東京都3区,100,43,0.43,石原宏高,ldp,19,阿部祐美子,chudo,14,5
13_4,東京都4区,100,48,0.48,平将明,ldp,23,井戸正枝,dpfp,13,10
13_5,東京都5区,100,48,0.48,若宮健嗣,ldp,18,手塚仁雄,chudo,13,5
13_6,東京都6区,100,39,0.39,落合貴之,jcp,24,畦元将吾,ldp,14,10
13_7,東京都7区,100,47,0.47,丸川珠代,ldp,19,松尾明弘,chudo,13,6
13_8,東京都8区,100,59,0.59,門寛子,ldp,29,吉田晴美,chudo,22,7
13_9,東京都9区,100,50,0.5,菅原一秀,ldp,23,山岸一生,chudo,16,7
13_10,東京都10区,100,45,0.45,鈴木隼人,ldp,19,鈴木庸介,jcp,18,1
13_11,東京都11区,100,49,0.49,下村博文,ldp,23,阿久津幸彦,chudo,8,15
13_12,東京都12区,100,53,0.53,高木啓,ldp,22,中原翔太,chudo,11,11
13_13,東京都13区,100,48,0.48,土田慎,ldp,27,森洋介,dpfp,12,15
13_14,東京都14区,100,47,0.47,松島みどり,ldp,26,櫛渕万里,reiwa,9,17
13_15,東京都15区,100,54,0.54,大空幸星,ldp,21,酒井菜摘,chudo,18,3
13_16,東京都16区,100,48,0.48,大西洋平,ldp,20,竹内知子,dpfp,12,8
13_17,東京都17区,100,49,0.49,平沢勝栄,ldp,13,反田麻理,chudo,10,3
13_18,東京都18区,100,53,0.53,福田かおる,ldp,28,松下玲子,chudo,13,15
13_19,東京都19区,100,54,0.54,松本洋平,ldp,25,末松義規,chudo,14,11
13_20,東京都20区,100,54,0.54,木原誠二,ldp,36,大西健太郎,dpfp,10,26
13_21,東京都21区,100,43,0.43,小田原潔,ldp,26,鈴木烈,chudo,7,19
13_22,東京都22区,100,52,0.52,伊藤達也,ldp,33,山花郁夫,chudo,12,21
13_23,東京都23区,100,55,0.55,川松真一朗,ldp,24,伊藤俊輔,chudo,22,2
13_24,東京都24区,100,55,0.55,萩生田光一,ldp,28,細貝悠,chudo,16,12
13_25,東京都25区,100,60,0.6,井上信治,ldp,26,依田花蓮,chudo,16,10
13_26,東京都26区,100,42,0.42,今岡植,ldp,16,宇佐美登,mirai,11,5
13_27,東京都27区,100,49,0.49,黒崎祐一,ldp,19,長妻昭,chudo,18,1
13_28,東京都28区,100,55,0.55,安藤高夫,ldp,21,高松智之,chudo,16,5
13_29,東京都29区,100,46,0.46,長沢興祐,ldp,23,木村剛司,chudo,9,14
13_30,東京都30区,100,48,0.48,長島昭久,ldp,16,川上竜世,dpfp,16,0
14_1,神奈川県1区,100,58,0.58,丸尾南都子,ldp,26,篠原豪,chudo,24,2
14_2,神奈川県2区,100,46,0.46,新田章文,ldp,20,柳家東三楼,chudo,11,9
14_3,神奈川県3区,100,51,0.51,中西健治,ldp,26,中村武人,chudo,12,14
14_4,神奈川県4区,100,57,0.57,永田磨梨奈,ldp,29,早稲田夕季,chudo,24,5
14_5,神奈川県5区,100,51,0.51,坂井学,ldp,23,山崎誠,chudo,17,6
14_6,神奈川県6区,100,52,0.52,古川直季,ldp,34,青柳陽一郎,chudo,18,16
14_7,神奈川県7区,100,56,0.56,中谷一馬,chudo,31,鈴木馨祐,ldp,25,6
14_8,神奈川県8区,100,54,0.54,三谷英弘,ldp,35,江田憲司,chudo,19,16
14_9,神奈川県9区,100,60,0.6,笠浩史,chudo,32,上原正裕,ldp,22,10
14_10,神奈川県10区,100,55,0.55,田中和徳,ldp,30,山口翔平,dpfp,13,17
14_11,神奈川県11区,100,43,0.43,小泉進次郎,ldp,35,為壮稔,jcp,6,29
14_12,神奈川県12区,100,59,0.59,星野剛士,ldp,30,阿部知子,chudo,20,10
14_13,神奈川県13区,100,53,0.53,丸田康一郎,ldp,25,太栄志,chudo,23,2
14_14,神奈川県14区,100,51,0.51,赤間二郎,ldp,23,長友克洋,chudo,19,4
14_15,神奈川県15区,100,52,0.52,河野太郎,ldp,30,佐々木克己,shamin,9,21
14_16,神奈川県16区,100,41,0.41,佐藤主迪,ldp,22,後藤祐一,chudo,19,3
14_17,神奈川県17区,100,56,0.56,牧島かれん,ldp,41,佐々木奈保美,chudo,11,30
14_18,神奈川県18区,100,53,0.53,山際大志郎,ldp,25,宗野創,chudo,12,13
14_19,神奈川県19区,100,61,0.61,草間剛,ldp,28,深作ヘスス,dpfp,20,8
14_20,神奈川県20区,100,59,0.59,大塚小百合,chudo,25,金沢結衣,ldp,24,1
15_1,新潟県1区,100,39,0.39,西村智奈美,chudo,20,内山航,ldp,14,6
15_2,新潟県2区,100,43,0.43,国定勇人,jcp,21,菊田真紀子,chudo,17,4
15_3,新潟県3区,100,48,0.48,斎藤洋明,ldp,28,黒岩宇洋,chudo,15,13
15_4,新潟県4区,100,54,0.54,鷲尾英一郎,ldp,29,米山隆一,chudo,15,14
15_5,新潟県5区,100,46,0.46,高鳥修一,ldp,23,梅谷守,chudo,19,4
16_1,富山県1区,100,37,0.37,中田宏,ldp,24,山登志浩,chudo,10,14
16_2,富山県2区,100,46,0.46,上田英俊,ldp,32,越川康晴,chudo,14,18
16_3,富山県3区,100,54,0.54,橘慶一郎,ldp,36,山本圭太,dpfp,11,25
17_1,石川県1区,100,37,0.37,小森卓郎,chudo,28,小林誠,ishin,8,20
17_2,石川県2区,100,42,0.42,佐々木紀,ldp,33,坂本浩,jcp,9,24
17_3,石川県3区,100,57,0.57,西田昭二,ldp,32,近藤和也,chudo,18,14
18_1,福井県1区,100,44,0.44,稲田朋美,ldp,21,波多野翼,chudo,12,9
18_2,福井県2区,100,56,0.56,斉木武志,other,43,辻英之,chudo,13,30
19_1,山梨県1区,100,59,0.59,中谷真一,ldp,32,中島克仁,chudo,19,13
19_2,山梨県2区,100,60,0.6,堀内詔子,ldp,49,早田記史,jcp,11,38
20_1,長野県1区,100,51,0.51,若林健太,ldp,34,篠原孝,chudo,12,22
20_2,長野県2区,100,58,0.58,藤田ひかる,ldp,28,下条みつ,chudo,21,7
20_3,長野県3区,100,52,0.52,井出庸生,ldp,27,神津健,chudo,19,8
20_4,長野県4区,100,65,0.65,後藤茂之,ldp,45,花岡明久,dpfp,18,27
20_5,長野県5区,100,53,0.53,宮下一郎,ldp,32,福田淳太,chudo,21,11
21_1,岐阜県1区,100,55,0.55,野田聖子,ldp,39,服部学,chudo,11,28
21_2,岐阜県2区,100,59,0.59,棚橋泰文,ldp,49,野村美穂,dpfp,7,42
21_3,岐阜県3区,100,56,0.56,武藤容治,ldp,36,仙田晃宏,dpfp,10,26
21_4,岐阜県4区,100,70,0.7,加藤大博,ldp,47,今井雅人,chudo,19,28
21_5,岐阜県5区,100,60,0.6,古屋圭司,ldp,37,真野哲,chudo,11,26
22_1,静岡県1区,100,50,0.5,上川陽子,ldp,30,柴田将平,dpfp,15,15
22_2,静岡県2区,100,52,0.52,井林辰憲,ldp,33,鈴木岳幸,chudo,19,14
22_3,静岡県3区,100,61,0.61,山本裕三,ldp,35,小山展弘,chudo,19,16
22_4,静岡県4区,100,51,0.51,深沢陽一,ldp,23,田中健,dpfp,15,8
22_5,静岡県5区,100,50,0.5,細野豪志,ldp,39,中村正善,chudo,10,29
22_6,静岡県6区,100,65,0.65,勝俣孝明,dpfp,44,渡辺周,chudo,18,26
22_7,静岡県7区,100,56,0.56,城内実,ldp,45,北野谷富子,dpfp,8,37
22_8,静岡県8区,100,62,0.62,稲葉大輔,ldp,37,源馬謙太郎,chudo,12,25
23_1,愛知県1区,100,47,0.47,熊田裕通,ldp,20,吉田統彦,chudo,17,3
23_2,愛知県2区,100,53,0.53,辻秀樹,ldp,26,古川元久,dpfp,15,11
23_3,愛知県3区,100,45,0.45,水野良彦,dpfp,24,近藤昭一,chudo,9,15
23_4,愛知県4区,100,37,0.37,工藤彰三,ldp,14,牧義夫,chudo,10,4
23_5,愛知県5区,100,58,0.58,西川厚志,chudo,25,岡本康宏,ldp,23,2
23_6,愛知県6区,100,55,0.55,丹羽秀樹,ldp,28,国崎信江,chudo,10,18
23_7,愛知県7区,100,50,0.5,鈴木淳司,ldp,28,日野紗里亜,dpfp,14,14
23_8,愛知県8区,100,48,0.48,伴野豊,chudo,22,伊藤忠彦,ldp,21,1
23_9,愛知県9区,100,60,0.6,長坂康正,ldp,28,岡本充功,chudo,18,10
23_10,愛知県10区,100,42,0.42,若山慎司,ldp,23,藤原規真,chudo,7,16
23_11,愛知県11区,100,47,0.47,藤沢忠盛,ldp,27,丹野みどり,dpfp,20,7
23_12,愛知県12区,100,55,0.55,青山周平,ldp,36,重徳和彦,chudo,14,22
23_13,愛知県13区,100,55,0.55,石井拓,ldp,34,大西健介,chudo,18,16
23_14,愛知県14区,100,58,0.58,今枝宗一郎,ldp,29,大嶽理恵,chudo,26,3
23_15,愛知県15区,100,50,0.5,根本幸典,ldp,20,小山千帆,chudo,18,2
23_16,愛知県16区,100,60,0.6,山下史守朗,ldp,33,松田功,chudo,11,22
24_1,三重県1区,100,62,0.62,田村憲久,ldp,43,福森和歌子,chudo,17,26
24_2,三重県2区,100,57,0.57,川崎秀人,ldp,30,下野幸助,chudo,20,10
24_3,三重県3区,100,57,0.57,石原正敬,ldp,37,岡田克也,chudo,15,22
24_4,三重県4区,100,55,0.55,鈴木英敬,ldp,40,藤田大助,dpfp,12,28
25_1,滋賀県1区,100,63,0.63,大岡敏孝,ldp,41,河井昭成,dpfp,11,30
25_2,滋賀県2区,100,54,0.54,上野賢一郎,ldp,33,平尾道雄,chudo,17,16
25_3,滋賀県3区,100,65,0.65,武村展英,ldp,31,早智敬,chudo,21,10
26_1,京都府1区,100,51,0.51,勝目康,ldp,19,鎌野敏徳,jcp,9,10
26_2,京都府2区,100,51,0.51,河野有里子,chudo,15,藤田洋司,ldp,14,1
26_3,京都府3区,100,58,0.58,繁本護,ldp,24,泉健太,chudo,22,2
26_4,京都府4区,100,52,0.52,北神圭朗,ldp,36,吉田幸一,jcp,16,20
26_5,京都府5区,100,47,0.47,本田太郎,ldp,42,山内健,jcp,5,37
26_6,京都府6区,100,54,0.54,園崎弘道,ldp,27,山井和則,chudo,20,7
27_1,大阪府1区,100,51,0.51,大西宏幸,ldp,22,井上英孝,ishin,16,6
27_2,大阪府2区,100,57,0.57,守島正,chudo,35,高見亮,ishin,18,17
27_3,大阪府3区,100,40,0.4,宇都宮優子,chudo,14,柳本顕,ldp,13,1
27_4,大阪府4区,100,58,0.58,中山泰秀,ldp,18,美延映夫,ishin,18,0
27_5,大阪府5区,100,46,0.46,杉田水脈,ldp,15,梅村聡,ishin,10,5
27_6,大阪府6区,100,60,0.6,永井正史,ldp,24,阪本洋三,chudo,13,11
27_7,大阪府7区,100,51,0.51,奥下剛光,ishin,23,渡嘉敷奈緒美,ldp,20,3
27_8,大阪府8区,100,57,0.57,漆間譲司,ishin,29,高麗啓一郎,ldp,17,12
27_9,大阪府9区,100,47,0.47,東田淳平,ldp,19,萩原佳,ishin,17,2
27_10,大阪府10区,100,55,0.55,尾辻かな子,chudo,21,池下卓,ishin,18,3
27_11,大阪府11区,100,58,0.58,中司宏,ishin,24,松本直高,ldp,14,10
27_12,大阪府12区,100,53,0.53,樽床伸二,chudo,18,北川晋平,ldp,18,0
27_13,大阪府13区,100,54,0.54,宗清皇一,ldp,17,八幡愛,reiwa,10,7
27_14,大阪府14区,100,48,0.48,青柳仁士,ishin,22,尾立源幸,ldp,20,2
27_15,大阪府15区,100,51,0.51,島田智明,ldp,23,浦野靖人,ishin,23,0
27_16,大阪府16区,100,51,0.51,葉田治央,ldp,23,黒田征樹,ishin,16,7
27_17,大阪府17区,100,57,0.57,馬場伸幸,ishin,25,信貴麻美,ldp,25,0
27_18,大阪府18区,100,48,0.48,遠藤敬,ishin,26,内田隆嗣,ldp,13,13
27_19,大阪府19区,100,53,0.53,谷川とむ,ldp,21,小羽根正代,chudo,14,7
28_1,兵庫県1区,100,39,0.39,井坂信彦,chudo,18,盛山正仁,ldp,11,7
28_2,兵庫県2区,100,55,0.55,阿部圭史,ishin,25,船川治郎,chudo,17,8
28_3,兵庫県3区,100,55,0.55,関芳弘,ldp,21,和田有一朗,ishin,19,2
28_4,兵庫県4区,100,47,0.47,藤井比早之,ldp,32,中山高志,chudo,12,20
28_5,兵庫県5区,100,53,0.53,谷公一,dpfp,26,川戸康嗣,chudo,11,15
28_6,兵庫県6区,100,56,0.56,大串正樹,ldp,26,桜井周,chudo,15,11
28_7,兵庫県7区,100,57,0.57,山田賢司,ldp,27,岡田悟,chudo,18,9
28_8,兵庫県8区,100,57,0.57,青山繁晴,ldp,27,徳安淳子,ishin,13,14
28_9,兵庫県9区,100,53,0.53,西村康稔,ldp,27,橋本慧悟,chudo,19,8
28_10,兵庫県10区,100,62,0.62,渡海紀三朗,ldp,28,隠樹圭子,chudo,15,13
28_11,兵庫県11区,100,55,0.55,山田基靖,ldp,25,住吉寛紀,ishin,16,9
28_12,兵庫県12区,100,57,0.57,山口壮,ldp,35,池畑浩太朗,ishin,15,20
29_1,奈良県1区,100,56,0.56,小林茂樹,ldp,27,馬淵澄夫,chudo,15,12
29_2,奈良県2区,100,56,0.56,高市早苗,ldp,46,池田英子,jcp,10,36
29_3,奈良県3区,100,53,0.53,田野瀬太道,ldp,34,原山大亮,ishin,9,25
30_1,和歌山県1区,100,58,0.58,山本大地,ldp,26,浦平美博,ishin,9,17
30_2,和歌山県2区,100,64,0.64,世耕弘成,ldp,58,畑野良弘,jcp,6,52
31_1,鳥取県1区,100,56,0.56,石破茂,ldp,38,谷川裕美,dpfp,12,26
31_2,鳥取県2区,100,62,0.62,赤沢亮正,ldp,41,湯原俊二,chudo,16,25
32_1,島根県1区,100,56,0.56,高階恵美子,ldp,33,亀井亜紀子,chudo,16,17
32_2,島根県2区,100,61,0.61,高見康裕,ldp,41,大塚聡子,chudo,14,27
33_1,岡山県1区,100,49,0.49,逢沢一郎,chudo,31,原田謙介,chudo,6,25
33_2,岡山県2区,100,51,0.51,山下貴司,ldp,32,津村啓介,chudo,12,20
33_3,岡山県3区,100,62,0.62,加藤勝信,ldp,57,原田亜希子,jcp,5,52
33_4,岡山県4区,100,53,0.53,橋本岳,ldp,26,柚木道義,chudo,18,8
34_1,広島県1区,100,55,0.55,岸田文雄,ldp,31,川田海栄,chudo,13,18
34_2,広島県2区,100,52,0.52,平口洋,ldp,30,岡田博美,jcp,10,20
34_3,広島県3区,100,54,0.54,石橋林太郎,ldp,24,東克哉,chudo,20,4
34_4,広島県4区,100,57,0.57,新谷正義,ldp,30,鍋島勢理,dpfp,18,12
34_5,広島県5区,100,59,0.59,山本深,ldp,31,佐藤公治,chudo,20,11
34_6,広島県6区,100,51,0.51,小林史明,ldp,33,はたともこ,chudo,15,18
35_1,山口県1区,100,74,0.74,高村正大,ldp,53,野田陽志,dpfp,13,40
35_2,山口県2区,100,58,0.58,岸信千世,ldp,34,平岡秀夫,chudo,24,10
35_3,山口県3区,100,68,0.68,林芳正,ldp,49,篠田知宏,chudo,11,38
36_1,徳島県1区,100,69,0.69,仁木博文,ldp,41,高橋永,chudo,14,27
36_2,徳島県2区,100,65,0.65,山口俊一,ldp,41,飯泉嘉門,dpfp,13,28
37_1,香川県1区,100,48,0.48,平井卓也,ldp,29,小川淳也,chudo,10,19
37_2,香川県2区,100,53,0.53,瀬戸隆一,ldp,29,玉木雄一郎,dpfp,19,10
37_3,香川県3区,100,58,0.58,大野敬太郎,ldp,33,川崎智光,dpfp,14,19
38_1,愛媛県1区,100,45,0.45,塩崎彰久,ldp,28,石井智恵,dpfp,12,16
38_2,愛媛県2区,100,56,0.56,井原巧,ldp,33,白石洋一,chudo,20,13
38_3,愛媛県3区,100,59,0.59,長谷川淳二,ldp,34,萩原旭人,chudo,21,13
39_1,高知県1区,100,63,0.63,中谷元,ldp,40,田所裕介,dpfp,20,20
39_2,高知県2区,100,66,0.66,尾崎正直,ldp,44,前田強,dpfp,16,28
40_1,福岡県1区,100,51,0.51,井上貴博,ldp,23,丸尾圭祐,chudo,16,7
40_2,福岡県2区,100,54,0.54,鬼木誠,ldp,31,稲富修二,chudo,17,14
40_3,福岡県3区,100,60,0.6,古賀篤,ldp,23,仁戸田元気,chudo,16,7
40_4,福岡県4区,100,53,0.53,宮内秀樹,ldp,38,許斐亮太郎,dpfp,15,23
40_5,福岡県5区,100,54,0.54,栗原渉,ldp,32,川元健一,dpfp,13,19
40_6,福岡県6区,100,52,0.52,鳩山二郎,ldp,40,近藤雅彦,dpfp,12,28
40_7,福岡県7区,100,54,0.54,藤丸敏,ldp,32,亀田晃尚,chudo,22,10
40_8,福岡県8区,100,62,0.62,麻生太郎,ldp,49,沖園理恵,reiwa,9,40
40_9,福岡県9区,100,53,0.53,緒方林太郎,independent,20,三原朝利,ldp,19,1
40_10,福岡県10区,100,51,0.51,吉村悠,ldp,29,城井崇,chudo,13,16
40_11,福岡県11区,100,59,0.59,武田良太,ldp,24,村上智信,ishin,19,5
41_1,佐賀県1区,100,61,0.61,岩田和親,ldp,28,原口一博,genzei,26,2
41_2,佐賀県2区,100,58,0.58,古川康,ldp,42,大串博志,chudo,16,26
