block,party,vote_count,vote_share,seats_won
hokkaido,ldp,229,0.4345,4
hokkaido,chudo,188,0.3567,4
hokkaido,jcp,31,0.0588,0
hokkaido,ishin,30,0.0569,0
hokkaido,dpfp,20,0.038,0
hokkaido,sansei,12,0.0228,0
hokkaido,reiwa,10,0.019,0
hokkaido,shamin,3,0.0057,0
hokkaido,mirai,2,0.0038,0
hokkaido,共産党,2,0.0038,0
tohoku,ldp,621,0.5481,8
tohoku,chudo,287,0.2533,4
tohoku,dpfp,68,0.06,0
tohoku,ishin,41,0.0362,0
tohoku,jcp,39,0.0344,0
tohoku,sansei,30,0.0265,0
tohoku,reiwa,25,0.0221,0
tohoku,independent,10,0.0088,0
tohoku,mirai,5,0.0044,0
tohoku,立憲民主党,3,0.0026,0
tohoku,shamin,2,0.0018,0
tohoku,genzei,1,0.0009,0
tohoku,共産党,1,0.0009,0
kitakanto,ldp,998,0.5484,12
kitakanto,chudo,307,0.1687,3
kitakanto,dpfp,121,0.0665,1
kitakanto,jcp,102,0.056,1
kitakanto,ishin,86,0.0473,1
kitakanto,sansei,77,0.0423,1
kitakanto,independent,61,0.0335,0
kitakanto,reiwa,39,0.0214,0
kitakanto,shoha,7,0.0038,0
kitakanto,mirai,5,0.0027,0
kitakanto,自由民主党,5,0.0027,0
kitakanto,genzei,4,0.0022,0
kitakanto,shamin,2,0.0011,0
kitakanto,hoshuto,2,0.0011,0
kitakanto,共産党,2,0.0011,0
kitakanto,立憲民主党,2,0.0011,0
minamikanto,ldp,715,0.409,11
minamikanto,chudo,412,0.2357,6
minamikanto,jcp,150,0.0858,2
minamikanto,ishin,136,0.0778,2
minamikanto,sansei,115,0.0658,1
minamikanto,dpfp,98,0.0561,1
minamikanto,reiwa,63,0.036,0
minamikanto,independent,13,0.0074,0
minamikanto,shamin,12,0.0069,0
minamikanto,自由民主党,11,0.0063,0
minamikanto,mirai,9,0.0051,0
minamikanto,genzei,8,0.0046,0
minamikanto,共産党,4,0.0023,0
minamikanto,立憲民主党,2,0.0011,0
tokyo,ldp,434,0.3263,7
tokyo,chudo,291,0.2188,5
tokyo,dpfp,189,0.1421,3
tokyo,ishin,139,0.1045,2
tokyo,jcp,99,0.0744,1
tokyo,sansei,88,0.0662,1
tokyo,reiwa,52,0.0391,0
tokyo,shoha,10,0.0075,0
tokyo,genzei,10,0.0075,0
tokyo,mirai,9,0.0068,0
tokyo,自由民主党,5,0.0038,0
tokyo,hoshuto,2,0.0015,0
tokyo,shamin,1,0.0008,0
tokyo,共産党,1,0.0008,0
hokurikushinetsu,ldp,470,0.5038,7
hokurikushinetsu,chudo,225,0.2412,3
hokurikushinetsu,dpfp,50,0.0536,0
hokurikushinetsu,sansei,47,0.0504,0
hokurikushinetsu,ishin,46,0.0493,0
hokurikushinetsu,jcp,46,0.0493,0
hokurikushinetsu,independent,22,0.0236,0
hokurikushinetsu,reiwa,21,0.0225,0
hokurikushinetsu,mirai,3,0.0032,0
hokurikushinetsu,genzei,2,0.0021,0
hokurikushinetsu,shamin,1,0.0011,0
tokai,ldp,852,0.4549,12
tokai,chudo,425,0.2269,5
tokai,dpfp,191,0.102,2
tokai,jcp,110,0.0587,1
tokai,ishin,87,0.0464,1
tokai,reiwa,60,0.032,0
tokai,sansei,59,0.0315,0
tokai,genzei,47,0.0251,0
tokai,independent,15,0.008,0
tokai,mirai,10,0.0053,0
tokai,shamin,7,0.0037,0
tokai,hoshuto,6,0.0032,0
tokai,立憲民主党,2,0.0011,0
tokai,共産党,2,0.0011,0
kinki,ldp,831,0.3328,10
kinki,ishin,673,0.2695,8
kinki,chudo,336,0.1346,4
kinki,jcp,280,0.1121,3
kinki,sansei,100,0.04,1
kinki,dpfp,78,0.0312,1
kinki,reiwa,78,0.0312,1
kinki,independent,73,0.0292,0
kinki,mirai,19,0.0076,0
kinki,shoha,16,0.0064,0
kinki,shamin,8,0.0032,0
kinki,genzei,5,0.002,0
chugoku,ldp,599,0.6038,8
chugoku,chudo,161,0.1623,2
chugoku,jcp,73,0.0736,0
chugoku,dpfp,55,0.0554,0
chugoku,ishin,36,0.0363,0
chugoku,sansei,29,0.0292,0
chugoku,reiwa,25,0.0252,0
chugoku,independent,7,0.0071,0
chugoku,mirai,6,0.006,0
chugoku,genzei,1,0.001,0
shikoku,ldp,382,0.6304,5
shikoku,chudo,83,0.137,1
shikoku,dpfp,65,0.1073,0
shikoku,jcp,29,0.0479,0
shikoku,ishin,23,0.038,0
shikoku,sansei,17,0.0281,0
shikoku,mirai,2,0.0033,0
shikoku,independent,2,0.0033,0
shikoku,reiwa,2,0.0033,0
shikoku,shamin,1,0.0017,0
kyushu,ldp,1072,0.5736,13
kyushu,chudo,282,0.1509,3
kyushu,dpfp,104,0.0556,1
kyushu,sansei,92,0.0492,1
kyushu,jcp,87,0.0465,1
kyushu,ishin,86,0.046,1
kyushu,reiwa,48,0.0257,0
kyushu,independent,48,0.0257,0
kyushu,shamin,22,0.0118,0
kyushu,genzei,15,0.008,0
kyushu,mirai,9,0.0048,0
kyushu,hoshuto,2,0.0011,0
kyushu,共産党,1,0.0005,0
kyushu,立憲民主党,1,0.0005,0
