district_id,district_name,total_personas,turnout_count,turnout_rate,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,margin,method
01_1,北海道1区,100,38,0.38,道下大樹,chudo,16,臼木秀剛,dpfp,11,5,rule_based
01_2,北海道2区,100,54,0.54,松木謙公,chudo,25,高橋祐介,ldp,20,5,rule_based
01_6,北海道6区,100,48,0.48,東国幹,ldp,32,西川将人,chudo,13,19,rule_based
01_7,北海道7区,100,46,0.46,鈴木貴子,ldp,32,篠田奈保子,chudo,14,18,rule_based
01_8,北海道8区,100,40,0.4,逢坂誠二,chudo,25,向山淳,ldp,15,10,rule_based
01_9,北海道9区,100,53,0.53,山岡達丸,chudo,26,松下英樹,ldp,15,11,rule_based
01_12,北海道12区,100,52,0.52,武部新,ldp,31,川原田英世,chudo,21,10,rule_based
02_1,青森県1区,100,51,0.51,津島淳,ldp,33,升田世喜男,chudo,11,22,rule_based
02_2,青森県2区,100,56,0.56,神田潤一,ldp,42,松尾和彦,chudo,8,34,rule_based
02_3,青森県3区,100,54,0.54,木村次郎,ldp,25,岡田華子,chudo,20,5,rule_based
03_1,岩手県1区,100,55,0.55,階猛,chudo,27,米内紘正,ldp,15,12,rule_based
03_2,岩手県2区,100,63,0.63,鈴木俊一,ldp,53,佐々木真琴,dpfp,10,43,rule_based
04_2,宮城県2区,100,46,0.46,鎌田さゆり,chudo,19,渡辺勝幸,ldp,15,4,rule_based
04_4,宮城県4区,100,52,0.52,森下千里,ldp,29,安住淳,chudo,18,11,rule_based
04_5,宮城県5区,100,57,0.57,小野寺五典,ldp,47,境恒春,chudo,6,41,rule_based
05_1,秋田県1区,100,57,0.57,冨樫博之,ldp,36,鈴木知,jcp,8,28,rule_based
05_2,秋田県2区,100,52,0.52,福原淳嗣,ldp,35,緑川貴士,chudo,17,18,rule_based
05_3,秋田県3区,100,56,0.56,御法川信英,ldp,37,村岡敏英,dpfp,19,18,rule_based
06_1,山形県1区,100,51,0.51,原田和広,chudo,24,遠藤寛明,ldp,21,3,rule_based
06_2,山形県2区,100,61,0.61,鈴木憲和,ldp,46,菊池大二郎,dpfp,8,38,rule_based
06_3,山形県3区,100,60,0.6,加藤鮎子,ldp,42,落合拓磨,chudo,9,33,rule_based
