block,party,vote_count,vote_share,seats_won
hokkaido,chudo,26,0.4407,4
hokkaido,ldp,24,0.4068,3
hokkaido,sansei,6,0.1017,1
hokkaido,dpfp,1,0.0169,0
hokkaido,mirai,1,0.0169,0
hokkaido,jcp,1,0.0169,0
tohoku,ldp,33,0.6,8
tohoku,jcp,10,0.1818,2
tohoku,dpfp,5,0.0909,1
tohoku,sansei,4,0.0727,1
tohoku,ishin,2,0.0364,0
tohoku,chudo,1,0.0182,0
tokyo,ldp,19,0.4318,9
tokyo,chudo,11,0.25,5
tokyo,ishin,6,0.1364,3
tokyo,jcp,4,0.0909,2
tokyo,reiwa,2,0.0455,0
tokyo,sansei,1,0.0227,0
tokyo,mirai,1,0.0227,0
minamikanto,chudo,20,0.3846,9
minamikanto,ishin,17,0.3269,8
minamikanto,ldp,13,0.25,6
minamikanto,mirai,2,0.0385,0
tokai,ldp,15,0.2941,7
tokai,genzei,14,0.2745,6
tokai,chudo,13,0.2549,6
tokai,sansei,5,0.098,2
tokai,dpfp,2,0.0392,0
tokai,jcp,1,0.0196,0
tokai,mirai,1,0.0196,0
kinki,ishin,33,0.2821,9
kinki,ldp,21,0.1795,5
kinki,jcp,19,0.1624,5
kinki,dpfp,13,0.1111,3
kinki,chudo,9,0.0769,2
kinki,mirai,8,0.0684,2
kinki,sansei,8,0.0684,2
kinki,reiwa,3,0.0256,0
kinki,shoha,3,0.0256,0
chugoku,ldp,28,0.4516,5
chugoku,chudo,24,0.3871,4
chugoku,jcp,5,0.0806,1
chugoku,sansei,3,0.0484,0
chugoku,ishin,1,0.0161,0
chugoku,dpfp,1,0.0161,0
kyushu,ldp,39,0.3679,8
kyushu,jcp,22,0.2075,5
kyushu,chudo,15,0.1415,3
kyushu,ishin,12,0.1132,2
kyushu,sansei,8,0.0755,1
kyushu,independent,6,0.0566,1
kyushu,mirai,2,0.0189,0
kyushu,reiwa,1,0.0094,0
kyushu,dpfp,1,0.0094,0
